,country,participant,result,olympic_game,discipline,event
0,BUL,sevdalin marinov,WR,Seoul 1988,Weightlifting,- 52kg (flyweight) men
1,KOR,byeong-gwan jeon,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
2,CHN,zhuo-qiang he,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
3,CHN,shou-lie zhang,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
4,POL,jacek gutowski,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
5,ROU,traian ioachim ciharean,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
6,HUN,bela olah,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
7,JPN,kazushito manabe,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
8,KOR,in-dong hwang,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
9,VEN,humberto fuentes rodriguez,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
10,IND,gurunathan muthuswamy,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
11,ESP,jose luis martinez ocana,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
12,ESP,jose andres ibanez puig,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
13,TPE,ming-hsiung chiang,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
14,INA,sodikin sodikin,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
15,TUR,levent erdogan,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
16,JPN,yoshinori namiki,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
17,AUS,gregory hayman,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
18,IND,raghavan chanderasekaran,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
19,PHI,gregorio colonia,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
20,LBN,khodor al-aywan,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
21,NEP,bharat sawad,,Seoul 1988,Weightlifting,- 52kg (flyweight) men
