,country,participant,result,olympic_game,discipline,event
0,RUS,vic wild,,Sochi 2014,Snowboard,Giant parallel slalom men
1,SUI,nevin galmarini,,Sochi 2014,Snowboard,Giant parallel slalom men
2,SLO,zan kosir,,Sochi 2014,Snowboard,Giant parallel slalom men
3,GER,patrick bussler,,Sochi 2014,Snowboard,Giant parallel slalom men
4,SLO,rok marguc,,Sochi 2014,Snowboard,Giant parallel slalom men
5,SLO,rok flander,,Sochi 2014,Snowboard,Giant parallel slalom men
6,SUI,simon schoch,,Sochi 2014,Snowboard,Giant parallel slalom men
7,AUT,andreas prommegger,,Sochi 2014,Snowboard,Giant parallel slalom men
8,RUS,andrey sobolev,,Sochi 2014,Snowboard,Giant parallel slalom men
9,AUT,benjamin karl,,Sochi 2014,Snowboard,Giant parallel slalom men
10,SUI,kaspar fluetsch,,Sochi 2014,Snowboard,Giant parallel slalom men
11,SUI,philipp schoch,,Sochi 2014,Snowboard,Giant parallel slalom men
12,GER,alexander bergmann,,Sochi 2014,Snowboard,Giant parallel slalom men
13,CAN,jasey jay anderson,,Sochi 2014,Snowboard,Giant parallel slalom men
14,CAN,matthew morison,,Sochi 2014,Snowboard,Giant parallel slalom men
15,FRA,sylvain dufour,,Sochi 2014,Snowboard,Giant parallel slalom men
16,KOR,sangkyum kim,,Sochi 2014,Snowboard,Giant parallel slalom men
17,ITA,roland fischnaller,,Sochi 2014,Snowboard,Giant parallel slalom men
18,RUS,valery kolegov,,Sochi 2014,Snowboard,Giant parallel slalom men
19,GER,stefan baumeister,,Sochi 2014,Snowboard,Giant parallel slalom men
20,SLO,izidor sustersic,,Sochi 2014,Snowboard,Giant parallel slalom men
21,AUT,anton unterkofler,,Sochi 2014,Snowboard,Giant parallel slalom men
22,UKR,yosyp peniak,,Sochi 2014,Snowboard,Giant parallel slalom men
23,USA,justin reiter,,Sochi 2014,Snowboard,Giant parallel slalom men
24,BUL,radoslav yankov,,Sochi 2014,Snowboard,Giant parallel slalom men
25,KOR,bong-shik shin,,Sochi 2014,Snowboard,Giant parallel slalom men
26,CAN,michael lambert,,Sochi 2014,Snowboard,Giant parallel slalom men
27,ITA,christoph mick,,Sochi 2014,Snowboard,Giant parallel slalom men
28,RUS,stanislav detkov,,Sochi 2014,Snowboard,Giant parallel slalom men
29,ITA,aaron march,,Sochi 2014,Snowboard,Giant parallel slalom men
30,ITA,meinhard erlacher,Disqualified,Sochi 2014,Snowboard,Giant parallel slalom men
31,AUT,lukas mathies,Disqualified,Sochi 2014,Snowboard,Giant parallel slalom men
0,SUI,patrizia kummer,,Sochi 2014,Snowboard,Giant parallel slalom women
1,JPN,tomoka takeuchi,,Sochi 2014,Snowboard,Giant parallel slalom women
2,RUS,alena zavarzina,,Sochi 2014,Snowboard,Giant parallel slalom women
3,AUT,ina meschik,,Sochi 2014,Snowboard,Giant parallel slalom women
4,CAN,marianne leeson,,Sochi 2014,Snowboard,Giant parallel slalom women
5,CAN,caroline calve,,Sochi 2014,Snowboard,Giant parallel slalom women
6,CZE,ester ledecka,,Sochi 2014,Snowboard,Giant parallel slalom women
7,CAN,ariane lavigne,,Sochi 2014,Snowboard,Giant parallel slalom women
8,SUI,julie zogg,,Sochi 2014,Snowboard,Giant parallel slalom women
9,NED,nicolien sauerbreij,,Sochi 2014,Snowboard,Giant parallel slalom women
10,AUT,claudia riegler,,Sochi 2014,Snowboard,Giant parallel slalom women
11,RUS,ekaterina ilyukhina,,Sochi 2014,Snowboard,Giant parallel slalom women
12,GER,selina joerg,,Sochi 2014,Snowboard,Giant parallel slalom women
13,SUI,ladina jenny,,Sochi 2014,Snowboard,Giant parallel slalom women
14,RUS,ekaterina tudegesheva,,Sochi 2014,Snowboard,Giant parallel slalom women
15,ITA,corinna boccacini,,Sochi 2014,Snowboard,Giant parallel slalom women
16,SUI,stefanie mueller,,Sochi 2014,Snowboard,Giant parallel slalom women
17,GER,isabella laboeck,,Sochi 2014,Snowboard,Giant parallel slalom women
18,NOR,hilde-katrine engeli,,Sochi 2014,Snowboard,Giant parallel slalom women
19,AUT,marion kreiner,,Sochi 2014,Snowboard,Giant parallel slalom women
20,UKR,annamari dancha,,Sochi 2014,Snowboard,Giant parallel slalom women
21,NED,michelle dekker,,Sochi 2014,Snowboard,Giant parallel slalom women
22,KAZ,valeriya tsoy,,Sochi 2014,Snowboard,Giant parallel slalom women
23,SLO,gloria kotnik,,Sochi 2014,Snowboard,Giant parallel slalom women
24,GER,anke woehrer,,Sochi 2014,Snowboard,Giant parallel slalom women
25,ITA,nadya ochner,,Sochi 2014,Snowboard,Giant parallel slalom women
26,SRB,nina micic,,Sochi 2014,Snowboard,Giant parallel slalom women
27,POL,karolina sztokfisz,,Sochi 2014,Snowboard,Giant parallel slalom women
28,AUT,julia dujmovits,,Sochi 2014,Snowboard,Giant parallel slalom women
29,GER,amelie kober,,Sochi 2014,Snowboard,Giant parallel slalom women
30,RUS,natalia soboleva,Disqualified,Sochi 2014,Snowboard,Giant parallel slalom women
31,POL,aleksandra krol,Disqualified,Sochi 2014,Snowboard,Giant parallel slalom women
0,SUI,iouri podladtchikov,94.75,Sochi 2014,Snowboard,Half-pipe men
1,JPN,ayumu hirano,93.50,Sochi 2014,Snowboard,Half-pipe men
2,JPN,taku hiraoka,92.25,Sochi 2014,Snowboard,Half-pipe men
3,USA,shaun white,90.25,Sochi 2014,Snowboard,Half-pipe men
4,SUI,david habluetzel,88.50,Sochi 2014,Snowboard,Half-pipe men
5,CHN,yiwei zhang,87.25,Sochi 2014,Snowboard,Half-pipe men
6,CHN,wancheng shi,81.00,Sochi 2014,Snowboard,Half-pipe men
7,SLO,tim-kevin ravnjak,72.25,Sochi 2014,Snowboard,Half-pipe men
8,AUS,kent callister,68.50,Sochi 2014,Snowboard,Half-pipe men
9,USA,danny davis,53.00,Sochi 2014,Snowboard,Half-pipe men
10,SUI,christian haller,51.50,Sochi 2014,Snowboard,Half-pipe men
11,USA,gregory bretz,26.50,Sochi 2014,Snowboard,Half-pipe men
12,AUS,nathan johnstone,,Sochi 2014,Snowboard,Half-pipe men
13,USA,taylor gold,,Sochi 2014,Snowboard,Half-pipe men
14,IRL,seamus o connor,,Sochi 2014,Snowboard,Half-pipe men
15,FRA,johann baisamy,,Sochi 2014,Snowboard,Half-pipe men
16,FRA,arthur longo,,Sochi 2014,Snowboard,Half-pipe men
17,SUI,jan scherrer,,Sochi 2014,Snowboard,Half-pipe men
18,CAN,derek livingston,,Sochi 2014,Snowboard,Half-pipe men
19,KOR,kwang ki lee,,Sochi 2014,Snowboard,Half-pipe men
20,AUS,scotty james,,Sochi 2014,Snowboard,Half-pipe men
21,GER,johannes hoepfl,,Sochi 2014,Snowboard,Half-pipe men
22,CAN,crispin lipscomb,,Sochi 2014,Snowboard,Half-pipe men
23,NED,dimi de jong,,Sochi 2014,Snowboard,Half-pipe men
24,RUS,nikita avtaneev,,Sochi 2014,Snowboard,Half-pipe men
25,FIN,markus malin,,Sochi 2014,Snowboard,Half-pipe men
26,NED,dolf van der wal,,Sochi 2014,Snowboard,Half-pipe men
27,KOR,ho jun kim,,Sochi 2014,Snowboard,Half-pipe men
28,SLO,jan kralj,,Sochi 2014,Snowboard,Half-pipe men
29,RUS,pavel kharitonov,,Sochi 2014,Snowboard,Half-pipe men
30,POL,michal ligocki,,Sochi 2014,Snowboard,Half-pipe men
31,JPN,ayumu nedefuji,,Sochi 2014,Snowboard,Half-pipe men
32,FIN,ilkka-eemeli laari,,Sochi 2014,Snowboard,Half-pipe men
33,GBR,ben kilner,,Sochi 2014,Snowboard,Half-pipe men
34,FIN,janne korpi,,Sochi 2014,Snowboard,Half-pipe men
