,country,participant,result,olympic_game,discipline,event
0,NED,jorrit bergsma,00:12:44.450,Sochi 2014,Speed skating,10000m men
1,NED,sven kramer,00:12:49.020,Sochi 2014,Speed skating,10000m men
2,NED,bob johannes carolus de jong,00:13:07.190,Sochi 2014,Speed skating,10000m men
3,KOR,seung hoon lee,00:13:11.680,Sochi 2014,Speed skating,10000m men
4,BEL,bart swings,00:13:13.990,Sochi 2014,Speed skating,10000m men
5,GER,patrick beckert,00:13:14.260,Sochi 2014,Speed skating,10000m men
6,NZL,shane dobbin,00:13:16.420,Sochi 2014,Speed skating,10000m men
7,GER,moritz geisreiter,00:13:20.260,Sochi 2014,Speed skating,10000m men
8,RUS,yevgeny seryayev,00:13:28.610,Sochi 2014,Speed skating,10000m men
9,USA,emery lehman,00:13:28.670,Sochi 2014,Speed skating,10000m men
10,USA,patrick meek,00:13:28.720,Sochi 2014,Speed skating,10000m men
11,KAZ,dmitry babenko,00:13:33.180,Sochi 2014,Speed skating,10000m men
12,GER,alexej baumgaertner,00:13:44.390,Sochi 2014,Speed skating,10000m men
13,POL,sebastian druszkiewicz,00:13:45.310,Sochi 2014,Speed skating,10000m men
0,NED,stefan groothuis,00:01:08.390,Sochi 2014,Speed skating,1000m men
1,CAN,denny morrison,00:01:08.430,Sochi 2014,Speed skating,1000m men
2,NED,michel mulder,00:01:08.740,Sochi 2014,Speed skating,1000m men
3,GER,nico ihle,00:01:08.860,Sochi 2014,Speed skating,1000m men
4,GER,samuel schwarz,00:01:08.890,Sochi 2014,Speed skating,1000m men
5,NED,koen verweij,00:01:09.090,Sochi 2014,Speed skating,1000m men
6,KAZ,denis kuzin,00:01:09.100,Sochi 2014,Speed skating,1000m men
7,USA,shani davis,00:01:09.120,Sochi 2014,Speed skating,1000m men
8,USA,brian hansen,00:01:09.210,Sochi 2014,Speed skating,1000m men
9,NED,mark tuitert,00:01:09.290,Sochi 2014,Speed skating,1000m men
10,NOR,havard lorentzen,00:01:09.330,Sochi 2014,Speed skating,1000m men
11,KOR,tae-bum mo,00:01:09.370,Sochi 2014,Speed skating,1000m men
12,KAZ,roman krech,00:01:09.630,Sochi 2014,Speed skating,1000m men
13,POL,zbigniew brodka,00:01:09.660,Sochi 2014,Speed skating,1000m men
14,USA,joey mantia,00:01:09.720,Sochi 2014,Speed skating,1000m men
15,POL,konrad niedzwiedzki,00:01:09.760,Sochi 2014,Speed skating,1000m men
16,RUS,denis yuskov,00:01:09.810,Sochi 2014,Speed skating,1000m men
17,RUS,aleksey yesin,00:01:09.930,Sochi 2014,Speed skating,1000m men
18,NOR,havard bokko,00:01:09.980,Sochi 2014,Speed skating,1000m men
19,CAN,vincent de haitre,00:01:10.040,Sochi 2014,Speed skating,1000m men
20,KOR,kyou-hyuk lee,00:01:10.040,Sochi 2014,Speed skating,1000m men
21,AUS,daniel greig,00:01:10.130,Sochi 2014,Speed skating,1000m men
22,BEL,bart swings,00:01:10.140,Sochi 2014,Speed skating,1000m men
23,LAT,haralds silovs,00:01:10.290,Sochi 2014,Speed skating,1000m men
24,ITA,mirko giacomo nenzi,00:01:10.320,Sochi 2014,Speed skating,1000m men
25,CAN,william dutton,00:01:10.610,Sochi 2014,Speed skating,1000m men
26,RUS,dmitry lobkov,00:01:10.650,Sochi 2014,Speed skating,1000m men
27,USA,jonathan garcia,00:01:10.740,Sochi 2014,Speed skating,1000m men
28,FRA,benjamin mace,00:01:10.800,Sochi 2014,Speed skating,1000m men
29,KOR,tae-yun kim,00:01:10.810,Sochi 2014,Speed skating,1000m men
30,NOR,espen hvammen,00:01:11.010,Sochi 2014,Speed skating,1000m men
31,CAN,muncef ouardi,00:01:11.070,Sochi 2014,Speed skating,1000m men
32,KAZ,fedor mezentsev,00:01:11.080,Sochi 2014,Speed skating,1000m men
33,CHN,guojun tian,00:01:11.170,Sochi 2014,Speed skating,1000m men
34,JPN,taro kondo,00:01:11.440,Sochi 2014,Speed skating,1000m men
35,JPN,daichi yamanaka,00:01:11.930,Sochi 2014,Speed skating,1000m men
36,FIN,tommi pulli,00:01:12.160,Sochi 2014,Speed skating,1000m men
37,SWE,david andersson,00:01:12.400,Sochi 2014,Speed skating,1000m men
38,RUS,igor bogolyubskiy,00:01:12.850,Sochi 2014,Speed skating,1000m men
39,TPE,ching-yang sung,00:01:13.790,Sochi 2014,Speed skating,1000m men
0,CHN,hong zhang,00:01:14.020,Sochi 2014,Speed skating,1000m women
1,NED,ireen wüst,00:01:14.690,Sochi 2014,Speed skating,1000m women
