,country,participant,result,olympic_game,discipline,event
0,GER,helmut recknagel,227.2,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
1,FIN,niilo halonen,222.6,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
2,AUT,otto leodolter,219.4,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
3,URS,nikolay kamensky,216.9,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
4,NOR,torbjörn yggeseth,216.1,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
5,GER,max bolkart,212.6,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
6,USA,austen samuelstuen,211.5,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
7,FIN,juhani kärkinen,211.4,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
8,URS,k'oba ts'akadze,211.1,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
9,URS,nikolaï shamov,210.6,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
10,NOR,halvor naes,209.8,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
11,GER,veit kührt,208.7,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
12,NOR,kåre berg,207.4,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
13,AUT,alwin plank,206.7,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
14,JPN,sadao kikuchi,206.2,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
15,AUT,walter steinegger,205.9,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
16,FIN,eino kirjonen,205.8,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
17,SWE,rolf strandberg,204.8,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
18,SWE,bengt eriksson,202.0,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
19,SUI,andreas däscher,201.2,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
20,GER,werner lesser,200.8,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
21,JPN,koichi sato,200.3,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
22,NOR,ole tom nord,200.2,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
23,ITA,dino dezordo,198.8,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
24,JPN,yosuke eto,197.7,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
25,FRA,claude jeanprost,196.8,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
26,URS,leonid fedorov,193.1,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
27,USA,jon j. st.andre,192.3,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
28,SWE,inge lindqvist,190.1,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
29,JPN,takashi matsui,189.6,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
30,POL,wladyslaw tajner,188.2,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
31,USA,robert carl wedin,187.1,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
32,CAN,jacques charland,186.3,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
33,AUT,wilhelm egger,185.4,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
34,CAN,gérard gravelle,185.4,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
35,ITA,nilo zandanel,184.8,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
36,ITA,enzo perin,181.6,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
37,FRA,robert rey,179.3,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
38,ITA,luigi pennacchio,171.2,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
39,FIN,veikko kankkonen,168.0,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
40,HUN,tamas sudar,165.8,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
41,USA,gene robert kotlarek,165.1,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
42,ISL,skarphéðinn guðmundsson,155.7,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
43,CAN,alois moser,151.1,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
44,SWE,kjell sjöberg,127.9,Squaw Valley 1960,Ski Jumping,Normal Hill Individual men
