,country,participant,result,olympic_game,discipline,event
0,INA,tony gunawan,,Sydney 2000,Badminton,doubles men
1,KOR,yong-seong yu,,Sydney 2000,Badminton,doubles men
2,KOR,dong moon kim,,Sydney 2000,Badminton,doubles men
3,MAS,wan wah lee,,Sydney 2000,Badminton,doubles men
4,INA,eng hian,,Sydney 2000,Badminton,doubles men
5,INA,ricky achmad subagja,,Sydney 2000,Badminton,doubles men
6,DEN,jens dyrloev eriksen,,Sydney 2000,Badminton,doubles men
7,GBR,simon archer,,Sydney 2000,Badminton,doubles men
8,DEN,martin lundgaard hansen,,Sydney 2000,Badminton,doubles men
9,CAN,bryan moody,,Sydney 2000,Badminton,doubles men
10,MAS,soon kit cheah,,Sydney 2000,Badminton,doubles men
11,DEN,michael sogaard,,Sydney 2000,Badminton,doubles men
12,POL,robert mateusiak,,Sydney 2000,Badminton,doubles men
13,SWE,par-gunnar jonsson,,Sydney 2000,Badminton,doubles men
14,GBR,peter knowles,,Sydney 2000,Badminton,doubles men
15,THA,pramote teerawiwatana,,Sydney 2000,Badminton,doubles men
16,CHN,qiqiu chen,,Sydney 2000,Badminton,doubles men
17,NED,quinten van dalm,,Sydney 2000,Badminton,doubles men
18,GER,bjoern siegemund,,Sydney 2000,Badminton,doubles men
19,BUL,svetoslav stoyanov,,Sydney 2000,Badminton,doubles men
20,AUS,david bamford,,Sydney 2000,Badminton,doubles men
21,MRI,denis constantin,,Sydney 2000,Badminton,doubles men
22,CHN,wei zhang,Did not start,Sydney 2000,Badminton,doubles men
0,CHN,ling gao,,Sydney 2000,Badminton,Doubles mixed
1,INA,trikus heryanto,,Sydney 2000,Badminton,Doubles mixed
2,GBR,joanne goode,,Sydney 2000,Badminton,Doubles mixed
3,DEN,michael sogaard,,Sydney 2000,Badminton,Doubles mixed
4,KOR,gyeong-min na,,Sydney 2000,Badminton,Doubles mixed
5,INA,zelin resiana,,Sydney 2000,Badminton,Doubles mixed
6,NED,chris bruil,,Sydney 2000,Badminton,Doubles mixed
7,DEN,jens dyrloev eriksen,,Sydney 2000,Badminton,Doubles mixed
8,CHN,qiqiu chen,,Sydney 2000,Badminton,Doubles mixed
9,SWE,fredrik bergstroem,,Sydney 2000,Badminton,Doubles mixed
10,KOR,tae-kwon ha,,Sydney 2000,Badminton,Doubles mixed
11,DEN,jon holst-christensen,,Sydney 2000,Badminton,Doubles mixed
12,THA,khunakorn sudhisodhi,,Sydney 2000,Badminton,Doubles mixed
13,GER,nicol pitro,,Sydney 2000,Badminton,Doubles mixed
14,CHN,yong liu,,Sydney 2000,Badminton,Doubles mixed
15,CAN,kara solmundson,,Sydney 2000,Badminton,Doubles mixed
16,GBR,christopher john hunt,,Sydney 2000,Badminton,Doubles mixed
17,KOR,dong soo lee,,Sydney 2000,Badminton,Doubles mixed
18,UKR,vladyslav druzchenko,,Sydney 2000,Badminton,Doubles mixed
19,GER,karen stechmann,,Sydney 2000,Badminton,Doubles mixed
20,AUS,amanda hardy,,Sydney 2000,Badminton,Doubles mixed
21,AUS,kellie lucas,,Sydney 2000,Badminton,Doubles mixed
22,CAN,milaine cloutier,,Sydney 2000,Badminton,Doubles mixed
23,HKG,wai chee louisa koon,,Sydney 2000,Badminton,Doubles mixed
24,MRI,stephan beeharry,,Sydney 2000,Badminton,Doubles mixed
25,AUS,peter blackburn,,Sydney 2000,Badminton,Doubles mixed
26,CAN,robbyn hermitage,,Sydney 2000,Badminton,Doubles mixed
0,CHN,jun gu,,Sydney 2000,Badminton,doubles women
1,CHN,wei yang,,Sydney 2000,Badminton,doubles women
2,CHN,ling gao,,Sydney 2000,Badminton,doubles women
3,KOR,jae-hui jeong,,Sydney 2000,Badminton,doubles women
4,DEN,rikke olsen,,Sydney 2000,Badminton,doubles women
5,GBR,donna kellogg,,Sydney 2000,Badminton,doubles women
6,NED,lotte jonathans,,Sydney 2000,Badminton,doubles women
7,INA,chynthia tuwankotta,,Sydney 2000,Badminton,doubles women
8,DEN,mette schjoldager,,Sydney 2000,Badminton,doubles women
9,RUS,marina yakusheva,,Sydney 2000,Badminton,doubles women
10,GBR,sarah hardaker,,Sydney 2000,Badminton,doubles women
11,KOR,hyojung lee,,Sydney 2000,Badminton,doubles women
12,CAN,robbyn hermitage,,Sydney 2000,Badminton,doubles women
13,GER,karen stechmann,,Sydney 2000,Badminton,doubles women
14,THA,saralee thungthongkam,,Sydney 2000,Badminton,doubles women
15,JPN,haruko matsuda,,Sydney 2000,Badminton,doubles women
16,DEN,ann jorgensen,,Sydney 2000,Badminton,doubles women
17,TPE,li-chin chen,,Sydney 2000,Badminton,doubles women
18,INA,eliza eliza,,Sydney 2000,Badminton,doubles women
19,BUL,diana khristova koleva,,Sydney 2000,Badminton,doubles women
20,JPN,hiroko nagamine,,Sydney 2000,Badminton,doubles women
21,UKR,viktoriya yevtushenko,,Sydney 2000,Badminton,doubles women
22,AUS,amanda hardy,,Sydney 2000,Badminton,doubles women
23,HKG,wai chee louisa koon,,Sydney 2000,Badminton,doubles women
24,AUS,kellie lucas,,Sydney 2000,Badminton,doubles women
25,MRI,marie-hélène valérie-pierre,,Sydney 2000,Badminton,doubles women
0,CHN,xinpeng ji,,Sydney 2000,Badminton,Singles men
1,INA,hendrawan ,,Sydney 2000,Badminton,Singles men
2,CHN,xuanze xia,,Sydney 2000,Badminton,Singles men
3,DEN,peter gade,,Sydney 2000,Badminton,Singles men
4,INA,marlev mario mainaky,,Sydney 2000,Badminton,Singles men
5,CHN,jun sun,,Sydney 2000,Badminton,Singles men
6,INA,taufik hidayat,,Sydney 2000,Badminton,Singles men
7,MAS,choong hann wong,,Sydney 2000,Badminton,Singles men
8,TPE,fung permadi,,Sydney 2000,Badminton,Singles men
9,KOR,sun-ho hwang,,Sydney 2000,Badminton,Singles men
10,DEN,kenneth jonassen,,Sydney 2000,Badminton,Singles men
11,USA,kevin han,,Sydney 2000,Badminton,Singles men
12,MAS,ewe hock ong,,Sydney 2000,Badminton,Singles men
13,IND,pullela gopichand,,Sydney 2000,Badminton,Singles men
14,GBR,richard vaughan,,Sydney 2000,Badminton,Singles men
15,BUL,svetoslav stoyanov,,Sydney 2000,Badminton,Singles men
16,FRA,bertrand gallet,,Sydney 2000,Badminton,Singles men
17,MRI,denis constantin,,Sydney 2000,Badminton,Singles men
18,JPN,hidetaka yamada,,Sydney 2000,Badminton,Singles men
19,FIN,jyri aalto,,Sydney 2000,Badminton,Singles men
20,JPN,keita masuda,,Sydney 2000,Badminton,Singles men
21,CAN,mike beres,,Sydney 2000,Badminton,Singles men
22,BUL,mihail popov,,Sydney 2000,Badminton,Singles men
23,HKG,wei ng,,Sydney 2000,Badminton,Singles men
24,GBR,peter knowles,,Sydney 2000,Badminton,Singles men
25,DEN,poul-erik høyer larsen,,Sydney 2000,Badminton,Singles men
26,SWE,rasmus wengberg,,Sydney 2000,Badminton,Singles men
27,AUS,rio suryana,,Sydney 2000,Badminton,Singles men
28,BEL,ruud kuijten,,Sydney 2000,Badminton,Singles men
29,HKG,kai chuen tam,,Sydney 2000,Badminton,Singles men
30,SWE,sven tomas johansson,,Sydney 2000,Badminton,Singles men
31,UKR,vladyslav druzchenko,,Sydney 2000,Badminton,Singles men
32,THA,boonsak ponsana,,Sydney 2000,Badminton,Singles men
33,POR,marco vasconcelos,,Sydney 2000,Badminton,Singles men
34,KOR,seung-mo shon,,Sydney 2000,Badminton,Singles men
0,CHN,xinpeng ji,,Sydney 2000,Badminton,Singles women
1,INA,hendrawan ,,Sydney 2000,Badminton,Singles women
