,country,participant,result,olympic_game,discipline,event
0,,,760,Sydney 2000,Basketball,basketball men
1,,,591,Sydney 2000,Basketball,basketball men
2,,,620,Sydney 2000,Basketball,basketball men
3,,,596,Sydney 2000,Basketball,basketball men
4,,,463,Sydney 2000,Basketball,basketball men
5,,,494,Sydney 2000,Basketball,basketball men
6,,,582,Sydney 2000,Basketball,basketball men
7,,,520,Sydney 2000,Basketball,basketball men
8,,,433,Sydney 2000,Basketball,basketball men
9,,,432,Sydney 2000,Basketball,basketball men
10,,,377,Sydney 2000,Basketball,basketball men
11,,,363,Sydney 2000,Basketball,basketball men
0,,,648,Sydney 2000,Basketball,basketball women
1,,,588,Sydney 2000,Basketball,basketball women
2,,,562,Sydney 2000,Basketball,basketball women
3,,,588,Sydney 2000,Basketball,basketball women
4,,,468,Sydney 2000,Basketball,basketball women
5,,,524,Sydney 2000,Basketball,basketball women
6,,,401,Sydney 2000,Basketball,basketball women
7,,,432,Sydney 2000,Basketball,basketball women
8,,,385,Sydney 2000,Basketball,basketball women
9,,,341,Sydney 2000,Basketball,basketball women
10,,,337,Sydney 2000,Basketball,basketball women
11,,,268,Sydney 2000,Basketball,basketball women
