,country,participant,result,olympic_game,discipline,event
0,USA,eric fonoimoana,,Sydney 2000,Beach Volleyball,Beach volleyball men
1,BRA,ricardo ,,Sydney 2000,Beach Volleyball,Beach volleyball men
2,GER,axel hager,,Sydney 2000,Beach Volleyball,Beach volleyball men
3,POR,luis miguel barbosa maia,,Sydney 2000,Beach Volleyball,Beach volleyball men
4,CAN,john child,,Sydney 2000,Beach Volleyball,Beach volleyball men
5,ESP,fabio diez,,Sydney 2000,Beach Volleyball,Beach volleyball men
6,SUI,paul laciga,,Sydney 2000,Beach Volleyball,Beach volleyball men
7,USA,"rob heidger, jr.",,Sydney 2000,Beach Volleyball,Beach volleyball men
8,ARG,martin alejo conde,,Sydney 2000,Beach Volleyball,Beach volleyball men
9,AUS,julien prosser,,Sydney 2000,Beach Volleyball,Beach volleyball men
10,AUT,oliver stamm,,Sydney 2000,Beach Volleyball,Beach volleyball men
11,BRA,emanuel emanuel,,Sydney 2000,Beach Volleyball,Beach volleyball men
12,CAN,jody holden,,Sydney 2000,Beach Volleyball,Beach volleyball men
13,MEX,joel sotelo villalobos,,Sydney 2000,Beach Volleyball,Beach volleyball men
14,NOR,joerre kjemperud,,Sydney 2000,Beach Volleyball,Beach volleyball men
15,RUS,sergey ermishin,,Sydney 2000,Beach Volleyball,Beach volleyball men
16,AUS,matt grinlaubs,,Sydney 2000,Beach Volleyball,Beach volleyball men
17,CZE,michal palinek,,Sydney 2000,Beach Volleyball,Beach volleyball men
18,ARG,mariano joaquin baracetti,,Sydney 2000,Beach Volleyball,Beach volleyball men
19,FRA,christian penigaud,,Sydney 2000,Beach Volleyball,Beach volleyball men
20,GER,oliver oetke,,Sydney 2000,Beach Volleyball,Beach volleyball men
21,ITA,maurizio pimponi,,Sydney 2000,Beach Volleyball,Beach volleyball men
22,NOR,bjorn maaseide,,Sydney 2000,Beach Volleyball,Beach volleyball men
23,SWE,bjorn berg,,Sydney 2000,Beach Volleyball,Beach volleyball men
0,AUS,kerri pottharst,,Sydney 2000,Beach Volleyball,Beach volleyball women
1,BRA,shelda shelda,,Sydney 2000,Beach Volleyball,Beach volleyball women
2,BRA,adriana samuel ramos,,Sydney 2000,Beach Volleyball,Beach volleyball women
3,JPN,mika saiki,,Sydney 2000,Beach Volleyball,Beach volleyball women
4,AUS,pauline manser,,Sydney 2000,Beach Volleyball,Beach volleyball women
5,ITA,laura bruschini,,Sydney 2000,Beach Volleyball,Beach volleyball women
6,USA,holly mcpeak,,Sydney 2000,Beach Volleyball,Beach volleyball women
7,USA,jennifer johnson-jordan,,Sydney 2000,Beach Volleyball,Beach volleyball women
8,CHN,rong chi,,Sydney 2000,Beach Volleyball,Beach volleyball women
9,CUB,dalixia fernandez grasset,,Sydney 2000,Beach Volleyball,Beach volleyball women
10,CZE,eva celbova,,Sydney 2000,Beach Volleyball,Beach volleyball women
11,FRA,cecile rigaux,,Sydney 2000,Beach Volleyball,Beach volleyball women
12,GER,danja musch,,Sydney 2000,Beach Volleyball,Beach volleyball women
13,GER,ulrike schmidt,,Sydney 2000,Beach Volleyball,Beach volleyball women
14,ITA,daniela gattelli,,Sydney 2000,Beach Volleyball,Beach volleyball women
15,POR,ana cristina pereira,,Sydney 2000,Beach Volleyball,Beach volleyball women
16,BUL,petia yanchulova,,Sydney 2000,Beach Volleyball,Beach volleyball women
17,GRE,effrosyni sfyri,,Sydney 2000,Beach Volleyball,Beach volleyball women
18,AUS,annette huygens tholen,,Sydney 2000,Beach Volleyball,Beach volleyball women
19,CHN,jia tian,,Sydney 2000,Beach Volleyball,Beach volleyball women
20,CZE,martina hudcova,,Sydney 2000,Beach Volleyball,Beach volleyball women
21,JPN,chie seike,,Sydney 2000,Beach Volleyball,Beach volleyball women
22,MEX,hilda gaxiola alvarez,,Sydney 2000,Beach Volleyball,Beach volleyball women
23,NED,debora schoon kadijk,,Sydney 2000,Beach Volleyball,Beach volleyball women
