,country,participant,result,olympic_game,discipline,event
0,THA,wijan ponlid,,Sydney 2000,Boxing,48-51kg flyweight men
1,KAZ,bolat zhumadilov,,Sydney 2000,Boxing,48-51kg flyweight men
2,FRA,jerome thomas,,Sydney 2000,Boxing,48-51kg flyweight men
3,UKR,volodymyr sydorenko,,Sydney 2000,Boxing,48-51kg flyweight men
4,CUB,manuel mantilla,,Sydney 2000,Boxing,48-51kg flyweight men
5,ARM,vakhtang darchinyan,,Sydney 2000,Boxing,48-51kg flyweight men
6,POL,andrzej rzany,,Sydney 2000,Boxing,48-51kg flyweight men
7,USA,jose navarro,,Sydney 2000,Boxing,48-51kg flyweight men
8,CAN,andrew kooner,,Sydney 2000,Boxing,48-51kg flyweight men
9,PHI,arlan lerio,,Sydney 2000,Boxing,48-51kg flyweight men
10,ROU,mihai bogdan dobrescu,,Sydney 2000,Boxing,48-51kg flyweight men
11,BUR,drissa tou,,Sydney 2000,Boxing,48-51kg flyweight men
12,MAR,hicham mesbahi,,Sydney 2000,Boxing,48-51kg flyweight men
13,RUS,ilfat raziapov,,Sydney 2000,Boxing,48-51kg flyweight men
14,ZAM,kennedy kanyanta,,Sydney 2000,Boxing,48-51kg flyweight men
15,ARG,omar andres narvaez,,Sydney 2000,Boxing,48-51kg flyweight men
16,PUR,carlos valcarcel diaz,,Sydney 2000,Boxing,48-51kg flyweight men
17,MAD,celestin augustin,,Sydney 2000,Boxing,48-51kg flyweight men
18,MEX,daniel ponce,,Sydney 2000,Boxing,48-51kg flyweight men
19,AUS,erle wiltshire,,Sydney 2000,Boxing,48-51kg flyweight men
20,TUR,halil ibrahim turan,,Sydney 2000,Boxing,48-51kg flyweight men
21,INA,hermensen bertholens ballo,,Sydney 2000,Boxing,48-51kg flyweight men
22,UGA,jackson asiku,,Sydney 2000,Boxing,48-51kg flyweight men
23,KOR,tae-kue kim,,Sydney 2000,Boxing,48-51kg flyweight men
24,ALG,nacer keddam,,Sydney 2000,Boxing,48-51kg flyweight men
25,GER,vardan zakarjan,,Sydney 2000,Boxing,48-51kg flyweight men
26,CHN,xiangzhong yang,,Sydney 2000,Boxing,48-51kg flyweight men
27,IRI,rahimi mohammad rahim,Did not start,Sydney 2000,Boxing,48-51kg flyweight men
0,FRA,brahim asloum,,Sydney 2000,Boxing,48kg lightflyweight men
1,ESP,rafael lozano muñoz,,Sydney 2000,Boxing,48kg lightflyweight men
2,PRK,un chol kim,,Sydney 2000,Boxing,48kg lightflyweight men
3,CUB,maikro romero,,Sydney 2000,Boxing,48kg lightflyweight men
4,KOR,ki suk kim,,Sydney 2000,Boxing,48kg lightflyweight men
5,KEN,suleiman wanjau bilali,,Sydney 2000,Boxing,48kg lightflyweight men
6,UKR,valeriy sydorenko,,Sydney 2000,Boxing,48kg lightflyweight men
7,LTU,ivanas stapovičius,,Sydney 2000,Boxing,48kg lightflyweight men
8,USA,brian viloria,,Sydney 2000,Boxing,48kg lightflyweight men
9,INA,la paene masara,,Sydney 2000,Boxing,48kg lightflyweight men
10,MEX,liborio romero,,Sydney 2000,Boxing,48kg lightflyweight men
11,THA,suban pannon,,Sydney 2000,Boxing,48kg lightflyweight men
12,ROU,marian velicu,,Sydney 2000,Boxing,48kg lightflyweight men
13,HUN,pal lakatos,,Sydney 2000,Boxing,48kg lightflyweight men
14,RSA,phumzile matyhila,,Sydney 2000,Boxing,48kg lightflyweight men
15,PHI,danilo lerio jr,,Sydney 2000,Boxing,48kg lightflyweight men
16,UZB,dilshod yuldashev,,Sydney 2000,Boxing,48kg lightflyweight men
17,PUR,ivan calderon marrero,,Sydney 2000,Boxing,48kg lightflyweight men
18,BRA,dedé dedé,,Sydney 2000,Boxing,48kg lightflyweight men
19,VEN,jose luis varela,,Sydney 2000,Boxing,48kg lightflyweight men
20,ALG,mebarek soltani,,Sydney 2000,Boxing,48kg lightflyweight men
21,TUR,ramazan ballioglu,,Sydney 2000,Boxing,48kg lightflyweight men
22,EGY,mohamed abdel rehim,,Sydney 2000,Boxing,48kg lightflyweight men
23,UGA,sunday kizito,,Sydney 2000,Boxing,48kg lightflyweight men
24,LES,sebusiso keketsi,,Sydney 2000,Boxing,48kg lightflyweight men
25,RUS,sergey kazakov,,Sydney 2000,Boxing,48kg lightflyweight men
26,IND,soubam suresh singh,,Sydney 2000,Boxing,48kg lightflyweight men
0,CUB,guillermo rigondeaux ortiz,,Sydney 2000,Boxing,51-54kg bantamweight men
