,country,participant,result,olympic_game,discipline,event
0,CHN,liang tian,724.53,Sydney 2000,Diving,10m platform men
1,CHN,jia hu,713.55,Sydney 2000,Diving,10m platform men
2,RUS,dmitry sautin,679.26,Sydney 2000,Diving,10m platform men
3,CAN,alexandre despatie,652.35,Sydney 2000,Diving,10m platform men
4,JPN,ken terauchi,636.90,Sydney 2000,Diving,10m platform men
5,USA,mark ruiz,625.92,Sydney 2000,Diving,10m platform men
6,RUS,igor loukachine,624.51,Sydney 2000,Diving,10m platform men
7,AUS,mathew helm,618.24,Sydney 2000,Diving,10m platform men
8,USA,david pichler,616.17,Sydney 2000,Diving,10m platform men
9,AUS,robert newbery,613.98,Sydney 2000,Diving,10m platform men
10,GER,heiko meyer,600.00,Sydney 2000,Diving,10m platform men
11,PRK,hyong gil choe,562.98,Sydney 2000,Diving,10m platform men
12,GBR,leon taylor,585.81,Sydney 2000,Diving,10m platform men
13,CUB,jose antonio guerra oliva,584.79,Sydney 2000,Diving,10m platform men
14,GER,jan hempel,582.90,Sydney 2000,Diving,10m platform men
15,PRK,yong ryong pak,582.03,Sydney 2000,Diving,10m platform men
16,CAN,christopher kalec,563.52,Sydney 2000,Diving,10m platform men
17,ITA,massimiliano mazzucchi,559.71,Sydney 2000,Diving,10m platform men
18,MEX,jose francisco perez anguiano,381.78,Sydney 2000,Diving,10m platform men
19,FRA,gilles emptoz-lacote,377.70,Sydney 2000,Diving,10m platform men
20,UKR,roman volod'kov,377.04,Sydney 2000,Diving,10m platform men
21,CUB,jesus iory aballi,368.34,Sydney 2000,Diving,10m platform men
22,UKR,oleksandr skrypnik,362.82,Sydney 2000,Diving,10m platform men
23,MAS,ken nee yeoh,361.86,Sydney 2000,Diving,10m platform men
24,MAS,mohd azheem bahari bahari,342.24,Sydney 2000,Diving,10m platform men
25,AZE,emin cəbrayilov,334.74,Sydney 2000,Diving,10m platform men
26,COL,juan guillermo uran salazar,333.93,Sydney 2000,Diving,10m platform men
27,BRA,cassius duran,331.86,Sydney 2000,Diving,10m platform men
28,KOR,chang-jun yu,331.05,Sydney 2000,Diving,10m platform men
29,ROU,gabriel chereches,320.61,Sydney 2000,Diving,10m platform men
30,KAZ,alexey gurman,320.13,Sydney 2000,Diving,10m platform men
31,KOR,dae-don cho,319.53,Sydney 2000,Diving,10m platform men
32,GBR,peter waterfield,317.31,Sydney 2000,Diving,10m platform men
33,HUN,andras hajnal,316.14,Sydney 2000,Diving,10m platform men
34,VEN,luis villarroel,309.66,Sydney 2000,Diving,10m platform men
35,ESP,ruben santos,300.90,Sydney 2000,Diving,10m platform men
36,PER,abel sanchez,295.14,Sydney 2000,Diving,10m platform men
37,ARM,hovhannes avtandilyan,284.91,Sydney 2000,Diving,10m platform men
38,THA,suchat pichi,268.65,Sydney 2000,Diving,10m platform men
39,INA,muhammad nasrullah,257.22,Sydney 2000,Diving,10m platform men
40,KAZ,daniar akhmetbekov,75.42,Sydney 2000,Diving,10m platform men
41,MEX,eduardo rueda pedroza,60.30,Sydney 2000,Diving,10m platform men
0,USA,laura wilkinson,543.75,Sydney 2000,Diving,10m platform women
1,CHN,na li,542.01,Sydney 2000,Diving,10m platform women
2,CAN,anne katherine montminy,540.15,Sydney 2000,Diving,10m platform women
3,CHN,xue sang,513.03,Sydney 2000,Diving,10m platform women
4,CAN,emilie heymans,511.92,Sydney 2000,Diving,10m platform women
5,UKR,olena zhupina,489.09,Sydney 2000,Diving,10m platform women
6,AUT,anja richter,482.16,Sydney 2000,Diving,10m platform women
7,RUS,svetlana timoshinina,478.89,Sydney 2000,Diving,10m platform women
8,KAZ,natalya chikina,466.80,Sydney 2000,Diving,10m platform women
9,PRK,myong hwa choe,453.06,Sydney 2000,Diving,10m platform women
10,AUS,rebecca gilmore,448.95,Sydney 2000,Diving,10m platform women
