,country,participant,result,olympic_game,discipline,event
0,,,,Sydney 2000,Hockey,hockey men
1,,,,Sydney 2000,Hockey,hockey men
2,,,,Sydney 2000,Hockey,hockey men
3,,,,Sydney 2000,Hockey,hockey men
4,,,,Sydney 2000,Hockey,hockey men
5,,,,Sydney 2000,Hockey,hockey men
6,,,,Sydney 2000,Hockey,hockey men
7,,,,Sydney 2000,Hockey,hockey men
8,,,,Sydney 2000,Hockey,hockey men
9,,,,Sydney 2000,Hockey,hockey men
10,,,,Sydney 2000,Hockey,hockey men
11,,,,Sydney 2000,Hockey,hockey men
0,,,,Sydney 2000,Hockey,hockey women
1,,,,Sydney 2000,Hockey,hockey women
2,,,,Sydney 2000,Hockey,hockey women
3,,,,Sydney 2000,Hockey,hockey women
4,,,,Sydney 2000,Hockey,hockey women
5,,,,Sydney 2000,Hockey,hockey women
6,,,,Sydney 2000,Hockey,hockey women
7,,,,Sydney 2000,Hockey,hockey women
8,,,,Sydney 2000,Hockey,hockey women
9,,,,Sydney 2000,Hockey,hockey women
