,country,participant,result,olympic_game,discipline,event
0,FRA,david douillet,,Sydney 2000,Judo,100kg heavyweight men
1,JPN,shinichi shinohara,,Sydney 2000,Judo,100kg heavyweight men
2,EST,indrek pertelson,,Sydney 2000,Judo,100kg heavyweight men
3,RUS,tamerlan tmenov,,Sydney 2000,Judo,100kg heavyweight men
4,BLR,ruslan sharapov,,Sydney 2000,Judo,100kg heavyweight men
5,TUR,selim tataroglu,,Sydney 2000,Judo,100kg heavyweight men
6,ESP,ernesto perez lobo,,Sydney 2000,Judo,100kg heavyweight men
7,CHN,song pan,,Sydney 2000,Judo,100kg heavyweight men
8,CUB,angel vladi sanchez armentero,,Sydney 2000,Judo,100kg heavyweight men
9,BRA,daniel hernandes,,Sydney 2000,Judo,100kg heavyweight men
10,NED,dennis van der geest,,Sydney 2000,Judo,100kg heavyweight men
11,BEL,harry van barneveld,,Sydney 2000,Judo,100kg heavyweight men
12,GER,frank möller,,Sydney 2000,Judo,100kg heavyweight men
13,GAB,steeve nguema ndong,,Sydney 2000,Judo,100kg heavyweight men
14,KAZ,vyacheslav berduta,,Sydney 2000,Judo,100kg heavyweight men
15,UZB,abdullo tangriev,,Sydney 2000,Judo,100kg heavyweight men
16,EGY,ahmed baly,,Sydney 2000,Judo,100kg heavyweight men
17,GEO,alex davitashvili,,Sydney 2000,Judo,100kg heavyweight men
18,MGL,bat-erdene badmaanyambuugiin,,Sydney 2000,Judo,100kg heavyweight men
19,ROU,gabriel munteanu,,Sydney 2000,Judo,100kg heavyweight men
20,HUN,imre csosz,,Sydney 2000,Judo,100kg heavyweight men
21,DOM,jose eugenio vasquez,,Sydney 2000,Judo,100kg heavyweight men
22,KOR,gyeong-du go,,Sydney 2000,Judo,100kg heavyweight men
23,USA,martin boonzaayer,,Sydney 2000,Judo,100kg heavyweight men
24,ALG,mohamed bouaichaoui,,Sydney 2000,Judo,100kg heavyweight men
25,FIJ,nacanieli takayawa,,Sydney 2000,Judo,100kg heavyweight men
26,ARG,orlando baccino,,Sydney 2000,Judo,100kg heavyweight men
27,CZE,petr jakl,,Sydney 2000,Judo,100kg heavyweight men
28,POL,rafal kubacki,,Sydney 2000,Judo,100kg heavyweight men
29,AUS,robert ball,,Sydney 2000,Judo,100kg heavyweight men
30,IRI,sayed miran fashandi,,Sydney 2000,Judo,100kg heavyweight men
31,UKR,valentyn ruslyakov,,Sydney 2000,Judo,100kg heavyweight men
