,country,participant,result,olympic_game,discipline,event
0,RUS,dmitry svatkovsky,"5,376",Sydney 2000,Modern Pentathlon,Individual competition men
1,HUN,gabor balogh,"5,353",Sydney 2000,Modern Pentathlon,Individual competition men
2,BLR,pavel dovgal,"5,338",Sydney 2000,Modern Pentathlon,Individual competition men
3,FRA,sebastien deleigne,"5,326",Sydney 2000,Modern Pentathlon,Individual competition men
4,UKR,vadim tkachuk,"5,274",Sydney 2000,Modern Pentathlon,Individual competition men
5,USA,chad senior,"5,256",Sydney 2000,Modern Pentathlon,Individual competition men
6,LTU,andrejus zadneprovskis,"5,236",Sydney 2000,Modern Pentathlon,Individual competition men
7,FRA,olivier clergeau,"5,217",Sydney 2000,Modern Pentathlon,Individual competition men
8,USA,velizar iliev,"5,207",Sydney 2000,Modern Pentathlon,Individual competition men
9,UKR,heorhiy chymerys,"5,188",Sydney 2000,Modern Pentathlon,Individual competition men
10,MEX,samuel felix miranda,"5,165",Sydney 2000,Modern Pentathlon,Individual competition men
11,SWE,michael brandt,"5,154",Sydney 2000,Modern Pentathlon,Individual competition men
12,ITA,stefano pecci,"5,121",Sydney 2000,Modern Pentathlon,Individual competition men
13,EST,imre tiidemann,"5,080",Sydney 2000,Modern Pentathlon,Individual competition men
14,POL,igor warabida,"5,061",Sydney 2000,Modern Pentathlon,Individual competition men
15,GER,eric walther,"4,979",Sydney 2000,Modern Pentathlon,Individual competition men
16,HUN,peter sarfalvi,"4,971",Sydney 2000,Modern Pentathlon,Individual competition men
17,LAT,deniss cerkovskis,"4,903",Sydney 2000,Modern Pentathlon,Individual competition men
18,EGY,emad el geziry,"4,839",Sydney 2000,Modern Pentathlon,Individual competition men
19,AUS,robert mcgregor,"4,784",Sydney 2000,Modern Pentathlon,Individual competition men
20,ROU,nicolae papuc,"4,174",Sydney 2000,Modern Pentathlon,Individual competition men
21,MEX,horacio de la vega,"4,039",Sydney 2000,Modern Pentathlon,Individual competition men
22,BUL,tsanko hantov,"3,932",Sydney 2000,Modern Pentathlon,Individual competition men
23,CHN,zhenhua qian,"3,836",Sydney 2000,Modern Pentathlon,Individual competition men
0,GBR,stephanie cook,"5,318",Sydney 2000,Modern Pentathlon,Individual Competition women
1,USA,emily de riel,"5,310",Sydney 2000,Modern Pentathlon,Individual Competition women
2,GBR,kate allenby,"5,273",Sydney 2000,Modern Pentathlon,Individual Competition women
3,USA,mary beth larsen,"5,129",Sydney 2000,Modern Pentathlon,Individual Competition women
4,POL,paulina boenisz,"5,099",Sydney 2000,Modern Pentathlon,Individual Competition women
5,BLR,zhanna shubianok,"5,086",Sydney 2000,Modern Pentathlon,Individual Competition women
6,RUS,elizaveta suvorova,"5,076",Sydney 2000,Modern Pentathlon,Individual Competition women
7,LAT,elena rublevska,"5,051",Sydney 2000,Modern Pentathlon,Individual Competition women
8,ITA,claudia cerutti,"5,026",Sydney 2000,Modern Pentathlon,Individual Competition women
9,FRA,caroline delemer,"4,992",Sydney 2000,Modern Pentathlon,Individual Competition women
10,UKR,tetiana nakazna,"4,977",Sydney 2000,Modern Pentathlon,Individual Competition women
11,SUI,florence dinichert,"4,953",Sydney 2000,Modern Pentathlon,Individual Competition women
12,RUS,tatyana muratova,"4,936",Sydney 2000,Modern Pentathlon,Individual Competition women
13,AUS,kitty chiller,"4,886",Sydney 2000,Modern Pentathlon,Individual Competition women
14,HUN,zsuzsanna voros,"4,866",Sydney 2000,Modern Pentathlon,Individual Competition women
15,POL,dorota idzi,"4,721",Sydney 2000,Modern Pentathlon,Individual Competition women
16,SWE,jeanette malm,"4,687",Sydney 2000,Modern Pentathlon,Individual Competition women
17,RSA,karina gerber,"4,617",Sydney 2000,Modern Pentathlon,Individual Competition women
18,DEN,pernille svarre,"4,541",Sydney 2000,Modern Pentathlon,Individual Competition women
19,CHN,jinlin wang,"4,490",Sydney 2000,Modern Pentathlon,Individual Competition women
20,GER,elena reiche,"4,304",Sydney 2000,Modern Pentathlon,Individual Competition women
21,GRE,katalin-mpeat partits,"3,700",Sydney 2000,Modern Pentathlon,Individual Competition women
22,HUN,nora simoka,"3,042",Sydney 2000,Modern Pentathlon,Individual Competition women
23,ITA,fabiana fares,"2,863",Sydney 2000,Modern Pentathlon,Individual Competition women
