,country,participant,result,olympic_game,discipline,event
0,CHN,luna tao,488.2,Sydney 2000,Shooting,10m air pistol 40 shots women
1,SCG,jasna sekaric,486.5,Sydney 2000,Shooting,10m air pistol 40 shots women
2,AUS,annemarie forder,484.0,Sydney 2000,Shooting,10m air pistol 40 shots women
3,RUS,svetlana smirnova,483.7,Sydney 2000,Shooting,10m air pistol 40 shots women
4,JPN,michiko fukushima,483.7,Sydney 2000,Shooting,10m air pistol 40 shots women
5,KAZ,dina aspandiyarova,483.7,Sydney 2000,Shooting,10m air pistol 40 shots women
6,RUS,olga kousnetsova,482.4,Sydney 2000,Shooting,10m air pistol 40 shots women
7,JPN,yoko inada,481.2,Sydney 2000,Shooting,10m air pistol 40 shots women
8,KAZ,yuliya bondareva,,Sydney 2000,Shooting,10m air pistol 40 shots women
9,MGL,gundegmaa otryad,,Sydney 2000,Shooting,10m air pistol 40 shots women
10,BLR,viktoryia chaika,,Sydney 2000,Shooting,10m air pistol 40 shots women
11,BLR,lalita milshina-yauhleuskaya,,Sydney 2000,Shooting,10m air pistol 40 shots women
12,COL,adriana rendon,,Sydney 2000,Shooting,10m air pistol 40 shots women
13,SWE,monica rundqvist,,Sydney 2000,Shooting,10m air pistol 40 shots women
14,CUB,margarita tarradell,,Sydney 2000,Shooting,10m air pistol 40 shots women
15,EGY,hebatallah el wazan,,Sydney 2000,Shooting,10m air pistol 40 shots women
16,ESP,maria del pilar fernandez,,Sydney 2000,Shooting,10m air pistol 40 shots women
17,CHN,jie ren,,Sydney 2000,Shooting,10m air pistol 40 shots women
18,POL,miroslawa sagun,,Sydney 2000,Shooting,10m air pistol 40 shots women
19,KOR,ji-young song,,Sydney 2000,Shooting,10m air pistol 40 shots women
20,ECU,carmen malo,,Sydney 2000,Shooting,10m air pistol 40 shots women
21,ALB,diana mata,,Sydney 2000,Shooting,10m air pistol 40 shots women
22,GER,anke völker,,Sydney 2000,Shooting,10m air pistol 40 shots women
23,KOR,sun-hui bu,,Sydney 2000,Shooting,10m air pistol 40 shots women
24,DEN,karen anette hansen,,Sydney 2000,Shooting,10m air pistol 40 shots women
25,GEO,nino salukvadze,,Sydney 2000,Shooting,10m air pistol 40 shots women
26,USA,rebecca snyder,,Sydney 2000,Shooting,10m air pistol 40 shots women
27,USA,christina cassidy,,Sydney 2000,Shooting,10m air pistol 40 shots women
28,AUS,linda ryan,,Sydney 2000,Shooting,10m air pistol 40 shots women
29,GEO,nino uchadze,,Sydney 2000,Shooting,10m air pistol 40 shots women
30,SRI,ruwani abeymanne,,Sydney 2000,Shooting,10m air pistol 40 shots women
31,GRE,agi kasoumi,,Sydney 2000,Shooting,10m air pistol 40 shots women
32,MAS,irina maharani,,Sydney 2000,Shooting,10m air pistol 40 shots women
33,GER,carmen meininger,,Sydney 2000,Shooting,10m air pistol 40 shots women
34,DEN,susanne meyerhoff,,Sydney 2000,Shooting,10m air pistol 40 shots women
35,ESA,luisa c maida,,Sydney 2000,Shooting,10m air pistol 40 shots women
36,MGL,munkhbayar dorjsuren,,Sydney 2000,Shooting,10m air pistol 40 shots women
37,BUL,mariya grozdeva,,Sydney 2000,Shooting,10m air pistol 40 shots women
38,NZL,tania corrigan,,Sydney 2000,Shooting,10m air pistol 40 shots women
39,CAN,kim eagles,,Sydney 2000,Shooting,10m air pistol 40 shots women
40,VEN,maria gabriela franco,,Sydney 2000,Shooting,10m air pistol 40 shots women
41,BUL,diana iorgova,,Sydney 2000,Shooting,10m air pistol 40 shots women
42,IRI,manijeh kazemi,,Sydney 2000,Shooting,10m air pistol 40 shots women
43,SGP,shirley ng peck yui,,Sydney 2000,Shooting,10m air pistol 40 shots women
44,AZE,i̇radə aşumova,,Sydney 2000,Shooting,10m air pistol 40 shots women
0,FRA,franck dumoulin,688.9,Sydney 2000,Shooting,10m air pistol 60 shots men
1,CHN,yifu wang,686.9,Sydney 2000,Shooting,10m air pistol 60 shots men
2,BLR,igor basinski,682.7,Sydney 2000,Shooting,10m air pistol 60 shots men
3,RUS,mikhail nestruev,682.3,Sydney 2000,Shooting,10m air pistol 60 shots men
4,FRA,stephane gagne,682.0,Sydney 2000,Shooting,10m air pistol 60 shots men
5,ITA,roberto di donna,680.5,Sydney 2000,Shooting,10m air pistol 60 shots men
6,POR,joao costa,679.4,Sydney 2000,Shooting,10m air pistol 60 shots men
7,BUL,tanyu kiriakov,676.8,Sydney 2000,Shooting,10m air pistol 60 shots men
8,RUS,vladimir gontcharov,,Sydney 2000,Shooting,10m air pistol 60 shots men
9,UZB,dilshod mukhtarov,,Sydney 2000,Shooting,10m air pistol 60 shots men
10,ROU,sorin babii,,Sydney 2000,Shooting,10m air pistol 60 shots men
11,POL,jerzy pietrzak,,Sydney 2000,Shooting,10m air pistol 60 shots men
12,CHN,zongliang tan,,Sydney 2000,Shooting,10m air pistol 60 shots men
13,CZE,martin tenk,,Sydney 2000,Shooting,10m air pistol 60 shots men
14,USA,michael douglass,,Sydney 2000,Shooting,10m air pistol 60 shots men
15,BLR,kanstantsin lukaschyk,,Sydney 2000,Shooting,10m air pistol 60 shots men
16,SVK,jan fabo,,Sydney 2000,Shooting,10m air pistol 60 shots men
17,GRE,dionysios georgakopoulos,,Sydney 2000,Shooting,10m air pistol 60 shots men
18,KGZ,yury melentyev,,Sydney 2000,Shooting,10m air pistol 60 shots men
19,GER,hans-jürgen neumaier,,Sydney 2000,Shooting,10m air pistol 60 shots men
20,GER,artur gevorgjan,,Sydney 2000,Shooting,10m air pistol 60 shots men
21,ITA,paolo ranno,,Sydney 2000,Shooting,10m air pistol 60 shots men
22,USA,bill demarest,,Sydney 2000,Shooting,10m air pistol 60 shots men
