,country,participant,result,olympic_game,discipline,event
0,CHN,sen yan,,Sydney 2000,Table Tennis,doubles men
1,CHN,guoliang liu,,Sydney 2000,Table Tennis,doubles men
2,FRA,jean-philippe gatien,,Sydney 2000,Table Tennis,doubles men
3,KOR,seung min ryu,,Sydney 2000,Table Tennis,doubles men
4,TPE,yen-shu chang,,Sydney 2000,Table Tennis,doubles men
5,FRA,christophe legout,,Sydney 2000,Table Tennis,doubles men
6,AUT,werner schlager,,Sydney 2000,Table Tennis,doubles men
7,KOR,taek-su kim,,Sydney 2000,Table Tennis,doubles men
8,HKG,yuk cheung,,Sydney 2000,Table Tennis,doubles men
9,NED,trinko keen,,Sydney 2000,Table Tennis,doubles men
10,SWE,peter karlsson,,Sydney 2000,Table Tennis,doubles men
11,SWE,jorgen persson,,Sydney 2000,Table Tennis,doubles men
12,POL,tomasz krzeszewski,,Sydney 2000,Table Tennis,doubles men
13,DEN,finn tugwell,,Sydney 2000,Table Tennis,doubles men
14,JPN,toshio tasaki,,Sydney 2000,Table Tennis,doubles men
15,SCG,slobodan grujic,,Sydney 2000,Table Tennis,doubles men
16,BRA,hugo hoyama,,Sydney 2000,Table Tennis,doubles men
17,BEL,jean-michel saive,,Sydney 2000,Table Tennis,doubles men
18,CAN,johnny huang,,Sydney 2000,Table Tennis,doubles men
19,GRE,kalinikos kreangka,,Sydney 2000,Table Tennis,doubles men
20,JPN,koji matsushita,,Sydney 2000,Table Tennis,doubles men
21,NGR,kazeem nasiru,,Sydney 2000,Table Tennis,doubles men
22,GER,timo boll,,Sydney 2000,Table Tennis,doubles men
23,BLR,yegveniy shchetinin,,Sydney 2000,Table Tennis,doubles men
24,AUS,brett clarke,,Sydney 2000,Table Tennis,doubles men
25,IND,chetan panduranga baboor,,Sydney 2000,Table Tennis,doubles men
26,CHI,augusto guillermo morales marengo,,Sydney 2000,Table Tennis,doubles men
27,ARG,song liu,,Sydney 2000,Table Tennis,doubles men
28,CZE,petr korbel,,Sydney 2000,Table Tennis,doubles men
29,AUS,mark smythe,,Sydney 2000,Table Tennis,doubles men
30,USA,todd sweeris,,Sydney 2000,Table Tennis,doubles men
31,USA,khoa nguyen,,Sydney 2000,Table Tennis,doubles men
32,EGY,el-sayed lashin,,Sydney 2000,Table Tennis,doubles men
33,ALG,farid oulami,,Sydney 2000,Table Tennis,doubles men
34,CUB,ruben arado,,Sydney 2000,Table Tennis,doubles men
35,INA,anton suseno,,Sydney 2000,Table Tennis,doubles men
0,CHN,sen yan,,Sydney 2000,Table Tennis,doubles women
1,CHN,guoliang liu,,Sydney 2000,Table Tennis,doubles women
2,FRA,jean-philippe gatien,,Sydney 2000,Table Tennis,doubles women
3,KOR,seung min ryu,,Sydney 2000,Table Tennis,doubles women
4,TPE,yen-shu chang,,Sydney 2000,Table Tennis,doubles women
5,FRA,christophe legout,,Sydney 2000,Table Tennis,doubles women
6,AUT,werner schlager,,Sydney 2000,Table Tennis,doubles women
7,KOR,taek-su kim,,Sydney 2000,Table Tennis,doubles women
8,HKG,yuk cheung,,Sydney 2000,Table Tennis,doubles women
9,NED,trinko keen,,Sydney 2000,Table Tennis,doubles women
10,SWE,peter karlsson,,Sydney 2000,Table Tennis,doubles women
11,SWE,jorgen persson,,Sydney 2000,Table Tennis,doubles women
12,POL,tomasz krzeszewski,,Sydney 2000,Table Tennis,doubles women
13,DEN,finn tugwell,,Sydney 2000,Table Tennis,doubles women
14,JPN,toshio tasaki,,Sydney 2000,Table Tennis,doubles women
15,SCG,slobodan grujic,,Sydney 2000,Table Tennis,doubles women
16,BRA,hugo hoyama,,Sydney 2000,Table Tennis,doubles women
17,BEL,jean-michel saive,,Sydney 2000,Table Tennis,doubles women
18,CAN,johnny huang,,Sydney 2000,Table Tennis,doubles women
19,GRE,kalinikos kreangka,,Sydney 2000,Table Tennis,doubles women
20,JPN,koji matsushita,,Sydney 2000,Table Tennis,doubles women
21,NGR,kazeem nasiru,,Sydney 2000,Table Tennis,doubles women
22,GER,timo boll,,Sydney 2000,Table Tennis,doubles women
23,BLR,yegveniy shchetinin,,Sydney 2000,Table Tennis,doubles women
24,AUS,brett clarke,,Sydney 2000,Table Tennis,doubles women
25,IND,chetan panduranga baboor,,Sydney 2000,Table Tennis,doubles women
26,CHI,augusto guillermo morales marengo,,Sydney 2000,Table Tennis,doubles women
27,ARG,song liu,,Sydney 2000,Table Tennis,doubles women
28,CZE,petr korbel,,Sydney 2000,Table Tennis,doubles women
29,AUS,mark smythe,,Sydney 2000,Table Tennis,doubles women
30,USA,todd sweeris,,Sydney 2000,Table Tennis,doubles women
31,USA,khoa nguyen,,Sydney 2000,Table Tennis,doubles women
32,EGY,el-sayed lashin,,Sydney 2000,Table Tennis,doubles women
33,ALG,farid oulami,,Sydney 2000,Table Tennis,doubles women
34,CUB,ruben arado,,Sydney 2000,Table Tennis,doubles women
35,INA,anton suseno,,Sydney 2000,Table Tennis,doubles women
0,CHN,linghui kong,,Sydney 2000,Table Tennis,Singles men
1,SWE,jan-ove waldner,,Sydney 2000,Table Tennis,Singles men
2,CHN,guoliang liu,,Sydney 2000,Table Tennis,Singles men
3,SWE,jorgen persson,,Sydney 2000,Table Tennis,Singles men
4,GER,jörg rosskopf,,Sydney 2000,Table Tennis,Singles men
5,CHN,guozheng liu,,Sydney 2000,Table Tennis,Singles men
6,BLR,vladimir samsonov,,Sydney 2000,Table Tennis,Singles men
7,AUT,werner schlager,,Sydney 2000,Table Tennis,Singles men
8,TPE,peng-lung chiang,,Sydney 2000,Table Tennis,Singles men
9,FRA,christophe legout,,Sydney 2000,Table Tennis,Singles men
10,FRA,damien eloi,,Sydney 2000,Table Tennis,Singles men
11,BEL,jean-michel saive,,Sydney 2000,Table Tennis,Singles men
12,JPN,koji matsushita,,Sydney 2000,Table Tennis,Singles men
13,POL,lucjan blaszczyk,,Sydney 2000,Table Tennis,Singles men
14,GER,timo boll,,Sydney 2000,Table Tennis,Singles men
15,JPN,toshio tasaki,,Sydney 2000,Table Tennis,Singles men
16,TPE,yen-shu chang,,Sydney 2000,Table Tennis,Singles men
17,HKG,yuk cheung,,Sydney 2000,Table Tennis,Singles men
18,NED,danny heister,,Sydney 2000,Table Tennis,Singles men
19,FRA,jean-philippe gatien,,Sydney 2000,Table Tennis,Singles men
20,CAN,johnny huang,,Sydney 2000,Table Tennis,Singles men
21,GRE,kalinikos kreangka,,Sydney 2000,Table Tennis,Singles men
22,KOR,taek-su kim,,Sydney 2000,Table Tennis,Singles men
23,KOR,chul seung lee,,Sydney 2000,Table Tennis,Singles men
24,GER,peter franz,,Sydney 2000,Table Tennis,Singles men
25,SWE,peter karlsson,,Sydney 2000,Table Tennis,Singles men
26,BEL,philippe saive,,Sydney 2000,Table Tennis,Singles men
27,JPN,seiko iseki,,Sydney 2000,Table Tennis,Singles men
28,NED,trinko keen,,Sydney 2000,Table Tennis,Singles men
29,KOR,seung min ryu,,Sydney 2000,Table Tennis,Singles men
30,CRO,zoran primorac,,Sydney 2000,Table Tennis,Singles men
31,CZE,petr korbel,,Sydney 2000,Table Tennis,Singles men
32,ROU,adrian crisan,,Sydney 2000,Table Tennis,Singles men
33,USA,yinghua cheng,,Sydney 2000,Table Tennis,Singles men
34,IND,chetan panduranga baboor,,Sydney 2000,Table Tennis,Singles men
35,USA,david zhuang,,Sydney 2000,Table Tennis,Singles men
36,AUT,yi ding,,Sydney 2000,Table Tennis,Singles men
37,EGY,el-sayed lashin,,Sydney 2000,Table Tennis,Singles men
38,BRA,hugo hoyama,,Sydney 2000,Table Tennis,Singles men
39,CZE,josef plachy,,Sydney 2000,Table Tennis,Singles men
40,ARG,song liu,,Sydney 2000,Table Tennis,Singles men
41,AUS,mark smythe,,Sydney 2000,Table Tennis,Singles men
42,GBR,matthew philip syed,,Sydney 2000,Table Tennis,Singles men
43,GRE,ntaniel tsiokas,,Sydney 2000,Table Tennis,Singles men
44,NGR,segun toriola,,Sydney 2000,Table Tennis,Singles men
45,SCG,slobodan grujic,,Sydney 2000,Table Tennis,Singles men
46,POL,tomasz krzeszewski,,Sydney 2000,Table Tennis,Singles men
47,BLR,yegveniy shchetinin,,Sydney 2000,Table Tennis,Singles men
48,INA,anton suseno,,Sydney 2000,Table Tennis,Singles men
49,EGY,ashraf abdelhalim,,Sydney 2000,Table Tennis,Singles men
50,CHI,augusto guillermo morales marengo,,Sydney 2000,Table Tennis,Singles men
51,CUB,francisco arado de armas,,Sydney 2000,Table Tennis,Singles men
52,TUN,gdara hamam,,Sydney 2000,Table Tennis,Singles men
53,QAT,hamad ahmad a a al hammadi,,Sydney 2000,Table Tennis,Singles men
54,MRI,jean patrick aladd sahajasein,,Sydney 2000,Table Tennis,Singles men
55,CHI,jorge andres gambra said,,Sydney 2000,Table Tennis,Singles men
56,CAN,kurt liu,,Sydney 2000,Table Tennis,Singles men
57,HKG,chu yan leung,,Sydney 2000,Table Tennis,Singles men
58,IRI,majidreza ehteshamzadeh,,Sydney 2000,Table Tennis,Singles men
59,NGR,peter akinlabi,,Sydney 2000,Table Tennis,Singles men
60,NZL,peter stuart jackson,,Sydney 2000,Table Tennis,Singles men
61,CUB,renier sosa,,Sydney 2000,Table Tennis,Singles men
62,AUS,russell lavale,,Sydney 2000,Table Tennis,Singles men
63,AUS,simon gerada,,Sydney 2000,Table Tennis,Singles men
0,CHN,linghui kong,,Sydney 2000,Table Tennis,Singles women
1,SWE,jan-ove waldner,,Sydney 2000,Table Tennis,Singles women
2,CHN,guoliang liu,,Sydney 2000,Table Tennis,Singles women
3,SWE,jorgen persson,,Sydney 2000,Table Tennis,Singles women
4,GER,jörg rosskopf,,Sydney 2000,Table Tennis,Singles women
5,CHN,guozheng liu,,Sydney 2000,Table Tennis,Singles women
6,BLR,vladimir samsonov,,Sydney 2000,Table Tennis,Singles women
7,AUT,werner schlager,,Sydney 2000,Table Tennis,Singles women
8,TPE,peng-lung chiang,,Sydney 2000,Table Tennis,Singles women
9,FRA,christophe legout,,Sydney 2000,Table Tennis,Singles women
10,FRA,damien eloi,,Sydney 2000,Table Tennis,Singles women
11,BEL,jean-michel saive,,Sydney 2000,Table Tennis,Singles women
12,JPN,koji matsushita,,Sydney 2000,Table Tennis,Singles women
13,POL,lucjan blaszczyk,,Sydney 2000,Table Tennis,Singles women
14,GER,timo boll,,Sydney 2000,Table Tennis,Singles women
15,JPN,toshio tasaki,,Sydney 2000,Table Tennis,Singles women
16,TPE,yen-shu chang,,Sydney 2000,Table Tennis,Singles women
17,HKG,yuk cheung,,Sydney 2000,Table Tennis,Singles women
18,NED,danny heister,,Sydney 2000,Table Tennis,Singles women
19,FRA,jean-philippe gatien,,Sydney 2000,Table Tennis,Singles women
20,CAN,johnny huang,,Sydney 2000,Table Tennis,Singles women
21,GRE,kalinikos kreangka,,Sydney 2000,Table Tennis,Singles women
22,KOR,taek-su kim,,Sydney 2000,Table Tennis,Singles women
23,KOR,chul seung lee,,Sydney 2000,Table Tennis,Singles women
24,GER,peter franz,,Sydney 2000,Table Tennis,Singles women
25,SWE,peter karlsson,,Sydney 2000,Table Tennis,Singles women
26,BEL,philippe saive,,Sydney 2000,Table Tennis,Singles women
27,JPN,seiko iseki,,Sydney 2000,Table Tennis,Singles women
28,NED,trinko keen,,Sydney 2000,Table Tennis,Singles women
29,KOR,seung min ryu,,Sydney 2000,Table Tennis,Singles women
30,CRO,zoran primorac,,Sydney 2000,Table Tennis,Singles women
31,CZE,petr korbel,,Sydney 2000,Table Tennis,Singles women
32,ROU,adrian crisan,,Sydney 2000,Table Tennis,Singles women
33,USA,yinghua cheng,,Sydney 2000,Table Tennis,Singles women
34,IND,chetan panduranga baboor,,Sydney 2000,Table Tennis,Singles women
35,USA,david zhuang,,Sydney 2000,Table Tennis,Singles women
36,AUT,yi ding,,Sydney 2000,Table Tennis,Singles women
37,EGY,el-sayed lashin,,Sydney 2000,Table Tennis,Singles women
38,BRA,hugo hoyama,,Sydney 2000,Table Tennis,Singles women
39,CZE,josef plachy,,Sydney 2000,Table Tennis,Singles women
40,ARG,song liu,,Sydney 2000,Table Tennis,Singles women
41,AUS,mark smythe,,Sydney 2000,Table Tennis,Singles women
42,GBR,matthew philip syed,,Sydney 2000,Table Tennis,Singles women
43,GRE,ntaniel tsiokas,,Sydney 2000,Table Tennis,Singles women
44,NGR,segun toriola,,Sydney 2000,Table Tennis,Singles women
45,SCG,slobodan grujic,,Sydney 2000,Table Tennis,Singles women
46,POL,tomasz krzeszewski,,Sydney 2000,Table Tennis,Singles women
47,BLR,yegveniy shchetinin,,Sydney 2000,Table Tennis,Singles women
48,INA,anton suseno,,Sydney 2000,Table Tennis,Singles women
49,EGY,ashraf abdelhalim,,Sydney 2000,Table Tennis,Singles women
50,CHI,augusto guillermo morales marengo,,Sydney 2000,Table Tennis,Singles women
51,CUB,francisco arado de armas,,Sydney 2000,Table Tennis,Singles women
52,TUN,gdara hamam,,Sydney 2000,Table Tennis,Singles women
53,QAT,hamad ahmad a a al hammadi,,Sydney 2000,Table Tennis,Singles women
54,MRI,jean patrick aladd sahajasein,,Sydney 2000,Table Tennis,Singles women
55,CHI,jorge andres gambra said,,Sydney 2000,Table Tennis,Singles women
56,CAN,kurt liu,,Sydney 2000,Table Tennis,Singles women
57,HKG,chu yan leung,,Sydney 2000,Table Tennis,Singles women
58,IRI,majidreza ehteshamzadeh,,Sydney 2000,Table Tennis,Singles women
59,NGR,peter akinlabi,,Sydney 2000,Table Tennis,Singles women
60,NZL,peter stuart jackson,,Sydney 2000,Table Tennis,Singles women
61,CUB,renier sosa,,Sydney 2000,Table Tennis,Singles women
62,AUS,russell lavale,,Sydney 2000,Table Tennis,Singles women
63,AUS,simon gerada,,Sydney 2000,Table Tennis,Singles women
