,country,participant,result,olympic_game,discipline,event
0,RUS,alexander moskalenko,41.7,Sydney 2000,Trampoline,Individual men
1,AUS,ji wallace,39.3,Sydney 2000,Trampoline,Individual men
2,CAN,mathieu turgeon,39.1,Sydney 2000,Trampoline,Individual men
3,FRA,david martin,38.8,Sydney 2000,Trampoline,Individual men
4,BLR,dmitry polyarush,38.1,Sydney 2000,Trampoline,Individual men
5,GBR,lee brearley,37.9,Sydney 2000,Trampoline,Individual men
6,NED,alan villafuerte,27.6,Sydney 2000,Trampoline,Individual men
7,UKR,oleksandr chernonos,7.5,Sydney 2000,Trampoline,Individual men
0,RUS,irina karavaeva,38.9,Sydney 2000,Trampoline,Individual women
1,UKR,oksana tsyhuleva,37.7,Sydney 2000,Trampoline,Individual women
2,CAN,karen cockburn,37.4,Sydney 2000,Trampoline,Individual women
3,UZB,ekaterina khilko,36.6,Sydney 2000,Trampoline,Individual women
4,BLR,natalya karpenkova,35.8,Sydney 2000,Trampoline,Individual women
5,JPN,akiko furu,35.3,Sydney 2000,Trampoline,Individual women
6,GEO,rusudan khoperia,34.1,Sydney 2000,Trampoline,Individual women
7,GER,anna dogonadze-lilkendey,5.0,Sydney 2000,Trampoline,Individual women
