,country,participant,result,olympic_game,discipline,event
0,ITA,mario zanin,04:39:51.630,Tokyo 1964,Cycling Road,individual road race men
1,DEN,kjell akerstrom-h. rodian,,Tokyo 1964,Cycling Road,individual road race men
2,BEL,walter godefroot,,Tokyo 1964,Cycling Road,individual road race men
3,AUS,raymond v. bilney,,Tokyo 1964,Cycling Road,individual road race men
4,ESP,josé manuel lópez,,Tokyo 1964,Cycling Road,individual road race men
5,GER,wilfried peffgen,,Tokyo 1964,Cycling Road,individual road race men
6,SWE,gösta a.b. pettersson,,Tokyo 1964,Cycling Road,individual road race men
7,ARG,delmo delmastro,,Tokyo 1964,Cycling Road,individual road race men
8,ARG,roberto breppe,,Tokyo 1964,Cycling Road,individual road race men
9,NZL,laurence john byers,,Tokyo 1964,Cycling Road,individual road race men
10,SWE,erik fäglum-pettersson,,Tokyo 1964,Cycling Road,individual road race men
11,BEL,eddy merckx,,Tokyo 1964,Cycling Road,individual road race men
12,POL,jan kudra,,Tokyo 1964,Cycling Road,individual road race men
13,AUS,michael f. hollingsworth,,Tokyo 1964,Cycling Road,individual road race men
14,DEN,ole hojlund pedersen,,Tokyo 1964,Cycling Road,individual road race men
15,SUI,hans luthi,,Tokyo 1964,Cycling Road,individual road race men
16,NZL,richard davis johnstone,,Tokyo 1964,Cycling Road,individual road race men
17,BEL,roger swerts,,Tokyo 1964,Cycling Road,individual road race men
18,LUX,johny schleck,,Tokyo 1964,Cycling Road,individual road race men
19,NED,hubertus balthazar zoet,,Tokyo 1964,Cycling Road,individual road race men
20,DEN,flemming gleerup hansen,,Tokyo 1964,Cycling Road,individual road race men
21,TCH,daniel grac,,Tokyo 1964,Cycling Road,individual road race men
22,ESP,jose manuel lasa urquia,,Tokyo 1964,Cycling Road,individual road race men
23,HUN,janos juszko,,Tokyo 1964,Cycling Road,individual road race men
24,GBR,colin lewis,,Tokyo 1964,Cycling Road,individual road race men
25,GBR,terence henry west,,Tokyo 1964,Cycling Road,individual road race men
26,NED,gerben karstens,,Tokyo 1964,Cycling Road,individual road race men
27,ITA,severino andreoli,,Tokyo 1964,Cycling Road,individual road race men
28,GER,burkhard ebert,,Tokyo 1964,Cycling Road,individual road race men
29,SUI,erwin jaisli,,Tokyo 1964,Cycling Road,individual road race men
30,GBR,derek john harrison,,Tokyo 1964,Cycling Road,individual road race men
31,ESP,mariano diaz diaz,,Tokyo 1964,Cycling Road,individual road race men
32,ITA,felice gimondi,,Tokyo 1964,Cycling Road,individual road race men
33,ESP,jorge marine tares,,Tokyo 1964,Cycling Road,individual road race men
34,HUN,andras meszaros,,Tokyo 1964,Cycling Road,individual road race men
35,HKG,kwong man chow,,Tokyo 1964,Cycling Road,individual road race men
36,JPN,masashi omiya,,Tokyo 1964,Cycling Road,individual road race men
37,BEL,jos boons,,Tokyo 1964,Cycling Road,individual road race men
38,SUI,louis pfenninger,,Tokyo 1964,Cycling Road,individual road race men
39,NED,henri steevens,,Tokyo 1964,Cycling Road,individual road race men
40,URS,gaynan saydkhuzhin,,Tokyo 1964,Cycling Road,individual road race men
41,NED,johannes aloysius pieterse,,Tokyo 1964,Cycling Road,individual road race men
42,MGL,baatar janjin,,Tokyo 1964,Cycling Road,individual road race men
43,POL,jan magiera,,Tokyo 1964,Cycling Road,individual road race men
44,URU,ricardo vasquez,,Tokyo 1964,Cycling Road,individual road race men
45,COL,martín rodríguez,,Tokyo 1964,Cycling Road,individual road race men
46,HUN,antal megyerdi,,Tokyo 1964,Cycling Road,individual road race men
47,URU,francisco perez,,Tokyo 1964,Cycling Road,individual road race men
48,ARG,ruben placanica,,Tokyo 1964,Cycling Road,individual road race men
49,SWE,sven helge hamrin,,Tokyo 1964,Cycling Road,individual road race men
50,GBR,michael joseph cowley,,Tokyo 1964,Cycling Road,individual road race men
51,SWE,sture fäglum-pettersson,,Tokyo 1964,Cycling Road,individual road race men
52,FRA,francis augustin bazire,,Tokyo 1964,Cycling Road,individual road race men
53,GER,immo rittmeyer,,Tokyo 1964,Cycling Road,individual road race men
54,COL,pablo e. hernandez lopez,,Tokyo 1964,Cycling Road,individual road race men
55,URS,anatoli olizarenko,,Tokyo 1964,Cycling Road,individual road race men
56,ROU,gabriel moiceanu,,Tokyo 1964,Cycling Road,individual road race men
57,ROU,constantin ciocan,,Tokyo 1964,Cycling Road,individual road race men
58,ROU,ion cosma,,Tokyo 1964,Cycling Road,individual road race men
59,URS,yuri melikhov,,Tokyo 1964,Cycling Road,individual road race men
60,NZL,desmond roland thomson,,Tokyo 1964,Cycling Road,individual road race men
61,URS,aleksei petrov,,Tokyo 1964,Cycling Road,individual road race men
62,SUI,hans heinemann,,Tokyo 1964,Cycling Road,individual road race men
63,URU,vid cencic,,Tokyo 1964,Cycling Road,individual road race men
64,AUS,david brian humphreys,,Tokyo 1964,Cycling Road,individual road race men
65,NZL,max william grace,,Tokyo 1964,Cycling Road,individual road race men
66,TCH,jiri daler,,Tokyo 1964,Cycling Road,individual road race men
67,AUS,malcolm r. mccreadie,,Tokyo 1964,Cycling Road,individual road race men
68,COL,ruben dario gomez bedoya,,Tokyo 1964,Cycling Road,individual road race men
69,TCH,frantisek rezac,,Tokyo 1964,Cycling Road,individual road race men
70,TCH,jan smolik,,Tokyo 1964,Cycling Road,individual road race men
71,MAS,tian-san stephen lim,,Tokyo 1964,Cycling Road,individual road race men
72,PHI,arturo m. romeo,,Tokyo 1964,Cycling Road,individual road race men
