,country,participant,result,olympic_game,discipline,event
0,,,22,Tokyo 1964,Football,football men
1,,,19,Tokyo 1964,Football,football men
2,,,12,Tokyo 1964,Football,football men
3,,,18,Tokyo 1964,Football,football men
4,,,12,Tokyo 1964,Football,football men
5,,,14,Tokyo 1964,Football,football men
6,,,6,Tokyo 1964,Football,football men
7,,,7,Tokyo 1964,Football,football men
8,,,2,Tokyo 1964,Football,football men
9,,,1,Tokyo 1964,Football,football men
10,,,5,Tokyo 1964,Football,football men
11,,,3,Tokyo 1964,Football,football men
12,,,1,Tokyo 1964,Football,football men
13,,,1,Tokyo 1964,Football,football men
