,country,participant,result,olympic_game,discipline,event
0,,,"5,981",Tokyo 1964,Sailing,5.5m mixed
1,,,"5,254",Tokyo 1964,Sailing,5.5m mixed
2,,,"5,106",Tokyo 1964,Sailing,5.5m mixed
3,,,"4,738",Tokyo 1964,Sailing,5.5m mixed
4,,,"3,057",Tokyo 1964,Sailing,5.5m mixed
5,,,"3,039",Tokyo 1964,Sailing,5.5m mixed
6,,,"2,955",Tokyo 1964,Sailing,5.5m mixed
7,,,"2,860",Tokyo 1964,Sailing,5.5m mixed
8,,,"2,713",Tokyo 1964,Sailing,5.5m mixed
9,,,"2,474",Tokyo 1964,Sailing,5.5m mixed
10,,,"2,443",Tokyo 1964,Sailing,5.5m mixed
11,,,"2,095",Tokyo 1964,Sailing,5.5m mixed
12,,,"1,596",Tokyo 1964,Sailing,5.5m mixed
13,,,"1,070",Tokyo 1964,Sailing,5.5m mixed
14,,,758,Tokyo 1964,Sailing,5.5m mixed
0,,,"5,854",Tokyo 1964,Sailing,dragon mixed
1,,,"5,826",Tokyo 1964,Sailing,dragon mixed
2,,,"5,523",Tokyo 1964,Sailing,dragon mixed
3,,,"5,090",Tokyo 1964,Sailing,dragon mixed
4,,,"5,055",Tokyo 1964,Sailing,dragon mixed
5,,,"4,636",Tokyo 1964,Sailing,dragon mixed
6,,,"4,294",Tokyo 1964,Sailing,dragon mixed
7,,,"4,188",Tokyo 1964,Sailing,dragon mixed
8,,,"3,996",Tokyo 1964,Sailing,dragon mixed
9,,,"3,682",Tokyo 1964,Sailing,dragon mixed
10,,,"3,459",Tokyo 1964,Sailing,dragon mixed
11,,,"3,243",Tokyo 1964,Sailing,dragon mixed
12,,,"3,218",Tokyo 1964,Sailing,dragon mixed
13,,,"2,601",Tokyo 1964,Sailing,dragon mixed
14,,,"2,067",Tokyo 1964,Sailing,dragon mixed
15,,,"1,804",Tokyo 1964,Sailing,dragon mixed
16,,,"1,762",Tokyo 1964,Sailing,dragon mixed
17,,,"1,632",Tokyo 1964,Sailing,dragon mixed
18,,,"1,461",Tokyo 1964,Sailing,dragon mixed
19,,,"1,331",Tokyo 1964,Sailing,dragon mixed
20,,,"1,056",Tokyo 1964,Sailing,dragon mixed
21,,,846,Tokyo 1964,Sailing,dragon mixed
22,,,832,Tokyo 1964,Sailing,dragon mixed
0,GER,wilhelm kuhweide,"7,638",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
1,USA,peter jones barrett,"6,373",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
2,DEN,henning norgaard wind,"6,190",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
3,NZL,peter garth mander,"5,684",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
4,AUT,hubert raudaschl,"5,405",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
5,AUS,colin stirling ryrie,"5,273",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
6,BRA,jorg bruder,"4,956",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
7,GRE,panayotis koulingas,"4,546",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
8,FRA,gerard devillard,"4,528",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
9,BEL,andre nelis,"4,210",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
10,CAN,bruce robert w. kirby,"4,178",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
11,URS,aleksander tšutšelov,"3,774",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
12,HUN,gyorgy finaczy,"3,771",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
13,SWE,boris jacobson,"3,692",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
14,NOR,per jorbakke,"3,687",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
15,NED,hans willem,"3,281",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
16,ZIM,michael mcfadden,"3,121",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
17,TCH,miroslav vejvoda,"3,070",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
18,POR,helder pacheco soares,"2,591",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
19,BER,jay cameron hooper,"2,489",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
20,JPN,takashi yamada,"2,486",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
21,GBR,brian linford saffrey-cooper,"2,445",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
22,IRL,john patrick a. hooper,"2,000",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
23,KEN,peter cooke,"1,867",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
24,TUR,haluk kakış,"1,863",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
25,ARG,ricardo manuel boneo,"1,583",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
26,ESP,juan olabarri de la sota,"1,532",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
27,HKG,alan stevens,"1,449",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
28,VEN,karsten boysen,"1,190",Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
29,THA,rachot kanjanavanit,973,Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
30,PUR,juan rafael torruella del valle,958,Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
31,MEX,fernando ortiz monasterio,785,Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
32,CAM,kim sy touck,357,Tokyo 1964,Sailing,Finn - One Person Dinghy (Heavyweight) men
0,NZL,helmer orlaf l. pedersen,"6,255",Tokyo 1964,Sailing,flying dutchman mixed
1,GBR,franklyn keith musto,"5,556",Tokyo 1964,Sailing,flying dutchman mixed
2,USA,william bruce bentsen,"5,158",Tokyo 1964,Sailing,flying dutchman mixed
3,DEN,ole erik gunnar petersen,"4,500",Tokyo 1964,Sailing,flying dutchman mixed
4,URS,aleksandr shelkovnikov,"4,375",Tokyo 1964,Sailing,flying dutchman mixed
5,NED,nicolaas pieter de jong,"4,214",Tokyo 1964,Sailing,flying dutchman mixed
6,FRA,marcel buffet,"3,864",Tokyo 1964,Sailing,flying dutchman mixed
