,country,participant,result,olympic_game,discipline,event
0,,,,Tokyo 1964,Water Polo,water polo men
1,,,,Tokyo 1964,Water Polo,water polo men
2,,,,Tokyo 1964,Water Polo,water polo men
3,,,,Tokyo 1964,Water Polo,water polo men
4,,,,Tokyo 1964,Water Polo,water polo men
5,,,,Tokyo 1964,Water Polo,water polo men
6,,,,Tokyo 1964,Water Polo,water polo men
7,,,,Tokyo 1964,Water Polo,water polo men
8,,,,Tokyo 1964,Water Polo,water polo men
9,,,,Tokyo 1964,Water Polo,water polo men
10,,,,Tokyo 1964,Water Polo,water polo men
11,,,,Tokyo 1964,Water Polo,water polo men
12,,,,Tokyo 1964,Water Polo,water polo men
