,country,participant,result,olympic_game,discipline,event
0,JPN,yoshinobu miyake,WR,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
1,USA,isaac berger,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
2,POL,mieczyslaw nowak,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
3,JPN,hiroshi fukuda,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
4,ITA,sebastiano mannironi,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
5,KOR,hae-nam kim,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
6,POL,rudolf kozlowski,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
7,EGY,hosni mohamed abbas,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
8,PAN,ildefonso lee valdes,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
9,MAS,kum-weng chung,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
10,GER,martin eberle,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
11,PUR,pedro serrano,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
12,IND,laxmi kanta das,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
13,IRQ,zuhair elia mansour,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
14,GBR,george newton,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
15,TPE,ming-chung chang,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
16,MEX,mauro alanis,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
17,CAN,allen salter,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
18,AUS,antonio marguccio,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
19,SWE,enar edberg,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
20,ROU,balaș fitzi,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
21,THA,snan tiamsert,,Tokyo 1964,Weightlifting,56 - 60kg (featherweight) men
0,URS,aleksey vakhonin,357.5,Tokyo 1964,Weightlifting,56kg bantamweight men
1,HUN,imre földi,355,Tokyo 1964,Weightlifting,56kg bantamweight men
2,JPN,shiro ishinoseki,347.5,Tokyo 1964,Weightlifting,56kg bantamweight men
3,POL,henryk trebicki,342.5,Tokyo 1964,Weightlifting,56kg bantamweight men
4,KOR,mu-sin yang,340,Tokyo 1964,Weightlifting,56kg bantamweight men
5,JPN,yukio furuyama,335,Tokyo 1964,Weightlifting,56kg bantamweight men
6,KOR,in-ho yu,335,Tokyo 1964,Weightlifting,56kg bantamweight men
7,GUY,martin dias,335,Tokyo 1964,Weightlifting,56kg bantamweight men
8,HUN,robert nagy,330,Tokyo 1964,Weightlifting,56kg bantamweight men
9,IRI,rajabi ali eslami,330,Tokyo 1964,Weightlifting,56kg bantamweight men
10,EGY,el sayed-1 mohamed herit,327.5,Tokyo 1964,Weightlifting,56kg bantamweight men
11,ITA,renzo grandi,327.5,Tokyo 1964,Weightlifting,56kg bantamweight men
12,PUR,fernando luis baez cruz,322.5,Tokyo 1964,Weightlifting,56kg bantamweight men
13,IND,mohon lal ghosh,312.5,Tokyo 1964,Weightlifting,56kg bantamweight men
14,IRI,mohammad nassiri-seresht,310,Tokyo 1964,Weightlifting,56kg bantamweight men
15,MYA,mya chit,310,Tokyo 1964,Weightlifting,56kg bantamweight men
16,MAS,phung-kim chua,307.5,Tokyo 1964,Weightlifting,56kg bantamweight men
17,THA,chaiya sukchinda,302.5,Tokyo 1964,Weightlifting,56kg bantamweight men
18,AHO,hector publio curiel,300,Tokyo 1964,Weightlifting,56kg bantamweight men
19,PAK,muhammad azam mian,295,Tokyo 1964,Weightlifting,56kg bantamweight men
20,AUS,gerald hay,290,Tokyo 1964,Weightlifting,56kg bantamweight men
21,AUS,salvatore coffa,275,Tokyo 1964,Weightlifting,56kg bantamweight men
22,TPE,nan-fei chung,95,Tokyo 1964,Weightlifting,56kg bantamweight men
23,THA,sermbhan chongrak,185,Tokyo 1964,Weightlifting,56kg bantamweight men
0,POL,waldemar baszanowski,WR,Tokyo 1964,Weightlifting,60-67.5kg lightweight men
1,URS,vladimir kaplunov,WR,Tokyo 1964,Weightlifting,60-67.5kg lightweight men
2,POL,marian zielinski,,Tokyo 1964,Weightlifting,60-67.5kg lightweight men
3,USA,anthony michael garcy,,Tokyo 1964,Weightlifting,60-67.5kg lightweight men
4,TCH,zdenek otahal,,Tokyo 1964,Weightlifting,60-67.5kg lightweight men
5,JPN,hiroshi yamazaki,,Tokyo 1964,Weightlifting,60-67.5kg lightweight men
