,country,participant,result,olympic_game,discipline,event
0,,,,Tokyo 2020,Basketball,Men
1,,,,Tokyo 2020,Basketball,Men
2,,,,Tokyo 2020,Basketball,Men
3,,,,Tokyo 2020,Basketball,Men
4,,,,Tokyo 2020,Basketball,Men
5,,,,Tokyo 2020,Basketball,Men
6,,,,Tokyo 2020,Basketball,Men
7,,,,Tokyo 2020,Basketball,Men
8,,,,Tokyo 2020,Basketball,Men
9,,,,Tokyo 2020,Basketball,Men
10,,,,Tokyo 2020,Basketball,Men
11,,,,Tokyo 2020,Basketball,Men
0,,,,Tokyo 2020,Basketball,Women
1,,,,Tokyo 2020,Basketball,Women
2,,,,Tokyo 2020,Basketball,Women
3,,,,Tokyo 2020,Basketball,Women
4,,,,Tokyo 2020,Basketball,Women
5,,,,Tokyo 2020,Basketball,Women
6,,,,Tokyo 2020,Basketball,Women
7,,,,Tokyo 2020,Basketball,Women
8,,,,Tokyo 2020,Basketball,Women
9,,,,Tokyo 2020,Basketball,Women
10,,,,Tokyo 2020,Basketball,Women
11,,,,Tokyo 2020,Basketball,Women
