,country,participant,result,olympic_game,discipline,event
0,CHN,yuan cao,582.35,Tokyo 2020,Diving,Men's 10m Platform
1,CHN,jian yang,580.40,Tokyo 2020,Diving,Men's 10m Platform
2,GBR,thomas daley,548.25,Tokyo 2020,Diving,Men's 10m Platform
3,ROC,aleksandr bondar,514.50,Tokyo 2020,Diving,Men's 10m Platform
4,ROC,viktor minibaev,495.85,Tokyo 2020,Diving,Men's 10m Platform
5,UKR,oleksii sereda,461.70,Tokyo 2020,Diving,Men's 10m Platform
6,JPN,rikuto tamai,431.95,Tokyo 2020,Diving,Men's 10m Platform
7,AUS,cassiel rousseau,430.35,Tokyo 2020,Diving,Men's 10m Platform
8,USA,jordan windle,407.90,Tokyo 2020,Diving,Men's 10m Platform
9,BRA,kawan figueredo pereira,393.85,Tokyo 2020,Diving,Men's 10m Platform
10,USA,brandon loschiavo,383.65,Tokyo 2020,Diving,Men's 10m Platform
11,MEX,andres isaac villarreal tudon,381.75,Tokyo 2020,Diving,Men's 10m Platform
12,CAN,nathan zsombor-murray,,Tokyo 2020,Diving,Men's 10m Platform
13,PUR,rafael quintero,,Tokyo 2020,Diving,Men's 10m Platform
14,KOR,yeongtaek kim,,Tokyo 2020,Diving,Men's 10m Platform
15,KOR,haram woo,,Tokyo 2020,Diving,Men's 10m Platform
16,GER,timo barthel,,Tokyo 2020,Diving,Men's 10m Platform
17,COL,sebastian villa,,Tokyo 2020,Diving,Men's 10m Platform
18,CAN,rylan wiens,,Tokyo 2020,Diving,Men's 10m Platform
19,BRA,isaac souza filho,,Tokyo 2020,Diving,Men's 10m Platform
20,GER,jaden shiloh eikermann gregorchuk,,Tokyo 2020,Diving,Men's 10m Platform
21,VEN,oscar ariza,,Tokyo 2020,Diving,Men's 10m Platform
22,EGY,mohab ishak,,Tokyo 2020,Diving,Men's 10m Platform
23,MEX,ivan garcia,,Tokyo 2020,Diving,Men's 10m Platform
24,JPN,reo nishida,,Tokyo 2020,Diving,Men's 10m Platform
25,SGP,jonathan chan,,Tokyo 2020,Diving,Men's 10m Platform
26,GBR,noah williams,,Tokyo 2020,Diving,Men's 10m Platform
27,AUS,samuel fricker,,Tokyo 2020,Diving,Men's 10m Platform
28,FRA,matthieu rosset,,Tokyo 2020,Diving,Men's 10m Platform
0,CHN,siyi xie,558.75,Tokyo 2020,Diving,Men's 3m Springboard
1,CHN,zongyuan wang,534.90,Tokyo 2020,Diving,Men's 3m Springboard
2,GBR,jack laugher,518.00,Tokyo 2020,Diving,Men's 3m Springboard
3,KOR,haram woo,481.85,Tokyo 2020,Diving,Men's 3m Springboard
