,country,participant,result,olympic_game,discipline,event
0,,,,Tokyo 2020,Equestrian,Dressage Individual
1,,,,Tokyo 2020,Equestrian,Dressage Individual
2,,,,Tokyo 2020,Equestrian,Dressage Individual
3,,,,Tokyo 2020,Equestrian,Dressage Individual
4,,,,Tokyo 2020,Equestrian,Dressage Individual
5,,,,Tokyo 2020,Equestrian,Dressage Individual
6,,,,Tokyo 2020,Equestrian,Dressage Individual
7,,,,Tokyo 2020,Equestrian,Dressage Individual
8,,,73.369,Tokyo 2020,Equestrian,Dressage Individual
9,,,,Tokyo 2020,Equestrian,Dressage Individual
10,,,,Tokyo 2020,Equestrian,Dressage Individual
11,,,,Tokyo 2020,Equestrian,Dressage Individual
12,,,,Tokyo 2020,Equestrian,Dressage Individual
13,,,,Tokyo 2020,Equestrian,Dressage Individual
14,,,78.820,Tokyo 2020,Equestrian,Dressage Individual
15,,,,Tokyo 2020,Equestrian,Dressage Individual
16,,,,Tokyo 2020,Equestrian,Dressage Individual
17,,,,Tokyo 2020,Equestrian,Dressage Individual
18,,,,Tokyo 2020,Equestrian,Dressage Individual
19,,,71.615,Tokyo 2020,Equestrian,Dressage Individual
20,,,,Tokyo 2020,Equestrian,Dressage Individual
21,,,,Tokyo 2020,Equestrian,Dressage Individual
22,,,,Tokyo 2020,Equestrian,Dressage Individual
23,,,70.543,Tokyo 2020,Equestrian,Dressage Individual
24,,,70.512,Tokyo 2020,Equestrian,Dressage Individual
25,,,,Tokyo 2020,Equestrian,Dressage Individual
26,,,,Tokyo 2020,Equestrian,Dressage Individual
27,,,70.202,Tokyo 2020,Equestrian,Dressage Individual
28,,,,Tokyo 2020,Equestrian,Dressage Individual
29,,,,Tokyo 2020,Equestrian,Dressage Individual
30,,,,Tokyo 2020,Equestrian,Dressage Individual
31,,,,Tokyo 2020,Equestrian,Dressage Individual
32,,,,Tokyo 2020,Equestrian,Dressage Individual
33,,,,Tokyo 2020,Equestrian,Dressage Individual
34,,,,Tokyo 2020,Equestrian,Dressage Individual
35,,,,Tokyo 2020,Equestrian,Dressage Individual
36,,,,Tokyo 2020,Equestrian,Dressage Individual
37,,,,Tokyo 2020,Equestrian,Dressage Individual
38,,,,Tokyo 2020,Equestrian,Dressage Individual
39,,,,Tokyo 2020,Equestrian,Dressage Individual
40,,,67.748,Tokyo 2020,Equestrian,Dressage Individual
41,,,,Tokyo 2020,Equestrian,Dressage Individual
42,,,,Tokyo 2020,Equestrian,Dressage Individual
43,,,,Tokyo 2020,Equestrian,Dressage Individual
44,,,,Tokyo 2020,Equestrian,Dressage Individual
45,,,,Tokyo 2020,Equestrian,Dressage Individual
46,,,,Tokyo 2020,Equestrian,Dressage Individual
47,,,65.714,Tokyo 2020,Equestrian,Dressage Individual
48,,,,Tokyo 2020,Equestrian,Dressage Individual
49,,,,Tokyo 2020,Equestrian,Dressage Individual
50,,,64.876,Tokyo 2020,Equestrian,Dressage Individual
51,,,,Tokyo 2020,Equestrian,Dressage Individual
52,,,,Tokyo 2020,Equestrian,Dressage Individual
53,,,,Tokyo 2020,Equestrian,Dressage Individual
54,,,,Tokyo 2020,Equestrian,Dressage Individual
55,,,,Tokyo 2020,Equestrian,Dressage Individual
56,,,58.354,Tokyo 2020,Equestrian,Dressage Individual
57,,,,Tokyo 2020,Equestrian,Dressage Individual
58,,,,Tokyo 2020,Equestrian,Dressage Individual
0,,,7911.5,Tokyo 2020,Equestrian,Dressage Team
1,,,7389.5,Tokyo 2020,Equestrian,Dressage Team
2,,,7508.5,Tokyo 2020,Equestrian,Dressage Team
3,,,7435.0,Tokyo 2020,Equestrian,Dressage Team
4,,,7312.0,Tokyo 2020,Equestrian,Dressage Team
5,,,6989.0,Tokyo 2020,Equestrian,Dressage Team
6,,,6749.5,Tokyo 2020,Equestrian,Dressage Team
7,,,6862.5,Tokyo 2020,Equestrian,Dressage Team
8,,,6715.0,Tokyo 2020,Equestrian,Dressage Team
9,,,6702.5,Tokyo 2020,Equestrian,Dressage Team
10,,,6605.5,Tokyo 2020,Equestrian,Dressage Team
11,,,6350.5,Tokyo 2020,Equestrian,Dressage Team
12,,,6273.5,Tokyo 2020,Equestrian,Dressage Team
13,,,6264.5,Tokyo 2020,Equestrian,Dressage Team
14,,,EL,Tokyo 2020,Equestrian,Dressage Team
0,,,26.00,Tokyo 2020,Equestrian,Eventing Individual
1,,,29.30,Tokyo 2020,Equestrian,Eventing Individual
2,,,29.60,Tokyo 2020,Equestrian,Eventing Individual
3,,,31.90,Tokyo 2020,Equestrian,Eventing Individual
4,,,32.40,Tokyo 2020,Equestrian,Eventing Individual
5,,,33.90,Tokyo 2020,Equestrian,Eventing Individual
6,,,35.20,Tokyo 2020,Equestrian,Eventing Individual
7,,,36.10,Tokyo 2020,Equestrian,Eventing Individual
8,,,37.80,Tokyo 2020,Equestrian,Eventing Individual
9,,,39.70,Tokyo 2020,Equestrian,Eventing Individual
10,,,41.90,Tokyo 2020,Equestrian,Eventing Individual
11,,,45.20,Tokyo 2020,Equestrian,Eventing Individual
12,,,46.00,Tokyo 2020,Equestrian,Eventing Individual
13,,,46.90,Tokyo 2020,Equestrian,Eventing Individual
14,,,47.00,Tokyo 2020,Equestrian,Eventing Individual
15,,,48.20,Tokyo 2020,Equestrian,Eventing Individual
16,,,49.70,Tokyo 2020,Equestrian,Eventing Individual
17,,,50.50,Tokyo 2020,Equestrian,Eventing Individual
18,,,51.70,Tokyo 2020,Equestrian,Eventing Individual
19,,,52.30,Tokyo 2020,Equestrian,Eventing Individual
20,,,54.10,Tokyo 2020,Equestrian,Eventing Individual
21,,,54.50,Tokyo 2020,Equestrian,Eventing Individual
22,,,59.60,Tokyo 2020,Equestrian,Eventing Individual
23,,,60.40,Tokyo 2020,Equestrian,Eventing Individual
24,,,62.30,Tokyo 2020,Equestrian,Eventing Individual
25,,,49.70,Tokyo 2020,Equestrian,Eventing Individual
26,,,50.20,Tokyo 2020,Equestrian,Eventing Individual
27,,,50.80,Tokyo 2020,Equestrian,Eventing Individual
28,,,55.30,Tokyo 2020,Equestrian,Eventing Individual
29,,,56.50,Tokyo 2020,Equestrian,Eventing Individual
30,,,62.90,Tokyo 2020,Equestrian,Eventing Individual
31,,,68.40,Tokyo 2020,Equestrian,Eventing Individual
32,,,75.50,Tokyo 2020,Equestrian,Eventing Individual
33,,,78.10,Tokyo 2020,Equestrian,Eventing Individual
34,,,79.70,Tokyo 2020,Equestrian,Eventing Individual
35,,,86.80,Tokyo 2020,Equestrian,Eventing Individual
36,,,92.10,Tokyo 2020,Equestrian,Eventing Individual
37,,,101.70,Tokyo 2020,Equestrian,Eventing Individual
38,,,104.90,Tokyo 2020,Equestrian,Eventing Individual
39,,,105.30,Tokyo 2020,Equestrian,Eventing Individual
40,,,119.50,Tokyo 2020,Equestrian,Eventing Individual
41,,,133.80,Tokyo 2020,Equestrian,Eventing Individual
42,,,135.30,Tokyo 2020,Equestrian,Eventing Individual
43,,,EL,Tokyo 2020,Equestrian,Eventing Individual
44,,,WD,Tokyo 2020,Equestrian,Eventing Individual
45,,,WD,Tokyo 2020,Equestrian,Eventing Individual
46,,,WD,Tokyo 2020,Equestrian,Eventing Individual
47,,,RT,Tokyo 2020,Equestrian,Eventing Individual
48,,,RT,Tokyo 2020,Equestrian,Eventing Individual
49,,,EL,Tokyo 2020,Equestrian,Eventing Individual
50,,,EL,Tokyo 2020,Equestrian,Eventing Individual
51,,,EL,Tokyo 2020,Equestrian,Eventing Individual
52,,,EL,Tokyo 2020,Equestrian,Eventing Individual
53,,,EL,Tokyo 2020,Equestrian,Eventing Individual
54,,,EL,Tokyo 2020,Equestrian,Eventing Individual
