,country,participant,result,olympic_game,discipline,event
0,,,,Tokyo 2020,Handball,Men
1,,,,Tokyo 2020,Handball,Men
2,,,,Tokyo 2020,Handball,Men
3,,,,Tokyo 2020,Handball,Men
4,,,,Tokyo 2020,Handball,Men
5,,,,Tokyo 2020,Handball,Men
6,,,,Tokyo 2020,Handball,Men
7,,,,Tokyo 2020,Handball,Men
8,,,,Tokyo 2020,Handball,Men
9,,,,Tokyo 2020,Handball,Men
10,,,,Tokyo 2020,Handball,Men
11,,,,Tokyo 2020,Handball,Men
0,,,,Tokyo 2020,Handball,Women
1,,,,Tokyo 2020,Handball,Women
2,,,,Tokyo 2020,Handball,Women
3,,,,Tokyo 2020,Handball,Women
4,,,,Tokyo 2020,Handball,Women
5,,,,Tokyo 2020,Handball,Women
6,,,,Tokyo 2020,Handball,Women
7,,,,Tokyo 2020,Handball,Women
8,,,,Tokyo 2020,Handball,Women
9,,,,Tokyo 2020,Handball,Women
10,,,,Tokyo 2020,Handball,Women
11,,,,Tokyo 2020,Handball,Women
