,country,participant,result,olympic_game,discipline,event
0,JPN,ryo kiyuna,,Tokyo 2020,Karate,Men's Kata
1,ESP,damian quintero,,Tokyo 2020,Karate,Men's Kata
2,TUR,ali sofuoglu,27.26,Tokyo 2020,Karate,Men's Kata
3,USA,ariel torres gutierrez,,Tokyo 2020,Karate,Men's Kata
4,VEN,antonio jose diaz fernandez,,Tokyo 2020,Karate,Men's Kata
5,KOR,heejun park,26.14,Tokyo 2020,Karate,Men's Kata
6,ITA,mattia busato,,Tokyo 2020,Karate,Men's Kata
7,GER,ilja smorguner,,Tokyo 2020,Karate,Men's Kata
8,TPE,yi-ta wang,,Tokyo 2020,Karate,Men's Kata
9,KUW,sayed mohammed almosawi,,Tokyo 2020,Karate,Men's Kata
10,EOR,wael shueb,,Tokyo 2020,Karate,Men's Kata
0,FRA,steven da costa,,Tokyo 2020,Karate,Men's Kumite -67kg
1,TUR,eray samdan,,Tokyo 2020,Karate,Men's Kumite -67kg
2,KAZ,darkhan assadilov,,Tokyo 2020,Karate,Men's Kumite -67kg
3,JOR,abdel rahman almasatfa,,Tokyo 2020,Karate,Men's Kumite -67kg
4,EOR,hamoon derafshipour,,Tokyo 2020,Karate,Men's Kumite -67kg
5,EGY,ali elsawy,,Tokyo 2020,Karate,Men's Kumite -67kg
6,LAT,kalvis kalnins,,Tokyo 2020,Karate,Men's Kumite -67kg
7,JPN,naoto sago,,Tokyo 2020,Karate,Men's Kumite -67kg
8,VEN,andres eduardo madera delgado,,Tokyo 2020,Karate,Men's Kumite -67kg
9,AZE,firdovsi farzaliyev,,Tokyo 2020,Karate,Men's Kumite -67kg
10,ITA,angelo crescenzo,Withdrawn,Tokyo 2020,Karate,Men's Kumite -67kg
0,ITA,luigi busa,,Tokyo 2020,Karate,Men's Kumite -75kg
1,AZE,rafael aghayev,,Tokyo 2020,Karate,Men's Kumite -75kg
2,UKR,stanislav horuna,,Tokyo 2020,Karate,Men's Kumite -75kg
3,HUN,karoly gabor harspataki,,Tokyo 2020,Karate,Men's Kumite -75kg
4,GER,noah bitsch,,Tokyo 2020,Karate,Men's Kumite -75kg
5,JPN,ken nishimura,,Tokyo 2020,Karate,Men's Kumite -75kg
6,KAZ,nurkanat azhikanov,,Tokyo 2020,Karate,Men's Kumite -75kg
7,USA,thomas scott,,Tokyo 2020,Karate,Men's Kumite -75kg
8,AUS,tsuneari yahiro,,Tokyo 2020,Karate,Men's Kumite -75kg
9,EGY,abdalla abdelaziz,,Tokyo 2020,Karate,Men's Kumite -75kg
0,IRI,sajad ganjzadeh,,Tokyo 2020,Karate,Men's Kumite +75kg
1,KSA,tareg hamedi,,Tokyo 2020,Karate,Men's Kumite +75kg
2,TUR,ugur aktas,,Tokyo 2020,Karate,Men's Kumite +75kg
3,JPN,ryutaro araga,,Tokyo 2020,Karate,Men's Kumite +75kg
4,CRO,ivan kvesic,,Tokyo 2020,Karate,Men's Kumite +75kg
5,GEO,gogita arkania,,Tokyo 2020,Karate,Men's Kumite +75kg
6,CAN,daniel gaysinsky,,Tokyo 2020,Karate,Men's Kumite +75kg
7,KAZ,daniyar yuldashev,,Tokyo 2020,Karate,Men's Kumite +75kg
8,USA,brian irr,,Tokyo 2020,Karate,Men's Kumite +75kg
9,GER,jonathan horne,Withdrawn,Tokyo 2020,Karate,Men's Kumite +75kg
0,ESP,sandra sanchez jaime,,Tokyo 2020,Karate,Women's Kata
1,JPN,kiyou shimizu,,Tokyo 2020,Karate,Women's Kata
2,HKG,mo sheung grace lau,,Tokyo 2020,Karate,Women's Kata
3,ITA,viviana bottaro,26.48,Tokyo 2020,Karate,Women's Kata
4,TUR,dilara bozan,,Tokyo 2020,Karate,Women's Kata
5,USA,sakura kokumai,25.40,Tokyo 2020,Karate,Women's Kata
6,FRA,alexandra feracci,,Tokyo 2020,Karate,Women's Kata
7,GER,jasmin juettner,,Tokyo 2020,Karate,Women's Kata
8,MKD,puliksenija jovanoska,,Tokyo 2020,Karate,Women's Kata
9,NZL,andrea anacan,,Tokyo 2020,Karate,Women's Kata
0,BUL,ivet goranova,,Tokyo 2020,Karate,Women's Kumite -55kg
1,UKR,anzhelika terliuga,,Tokyo 2020,Karate,Women's Kumite -55kg
2,AUT,bettina plank,,Tokyo 2020,Karate,Women's Kumite -55kg
3,TPE,tzuyun wen,,Tokyo 2020,Karate,Women's Kumite -55kg
4,IRI,sara bahmanyar,,Tokyo 2020,Karate,Women's Kumite -55kg
5,JPN,miho miyahara,,Tokyo 2020,Karate,Women's Kumite -55kg
6,TUR,serap ozcelik arapoglu,,Tokyo 2020,Karate,Women's Kumite -55kg
7,KAZ,moldir zhangbyrbay,,Tokyo 2020,Karate,Women's Kumite -55kg
8,EGY,radwa sayed,,Tokyo 2020,Karate,Women's Kumite -55kg
0,SRB,jovana prekovic,,Tokyo 2020,Karate,Women's Kumite -61kg
1,CHN,xiaoyan yin,,Tokyo 2020,Karate,Women's Kumite -61kg
2,TUR,merve coban,,Tokyo 2020,Karate,Women's Kumite -61kg
3,EGY,giana lotfy,,Tokyo 2020,Karate,Women's Kumite -61kg
4,UKR,anita serogina,,Tokyo 2020,Karate,Women's Kumite -61kg
5,VEN,claudymar garces sequera,,Tokyo 2020,Karate,Women's Kumite -61kg
6,PER,alexandra vanessa grande risco,,Tokyo 2020,Karate,Women's Kumite -61kg
7,JPN,mayumi someya,,Tokyo 2020,Karate,Women's Kumite -61kg
8,MAR,btissam sadini,,Tokyo 2020,Karate,Women's Kumite -61kg
9,FRA,leila heurtault,,Tokyo 2020,Karate,Women's Kumite -61kg
0,EGY,feryal abdelaziz,,Tokyo 2020,Karate,Women's Kumite +61kg
1,AZE,iryna zaretska,,Tokyo 2020,Karate,Women's Kumite +61kg
2,KAZ,sofya berultseva,,Tokyo 2020,Karate,Women's Kumite +61kg
3,CHN,li gong,,Tokyo 2020,Karate,Women's Kumite +61kg
4,SUI,elena quirici,,Tokyo 2020,Karate,Women's Kumite +61kg
5,ITA,silvia semeraro,,Tokyo 2020,Karate,Women's Kumite +61kg
6,IRI,hamideh abbasali,,Tokyo 2020,Karate,Women's Kumite +61kg
7,JPN,ayumi uekusa,,Tokyo 2020,Karate,Women's Kumite +61kg
8,ALG,lamya matoub,,Tokyo 2020,Karate,Women's Kumite +61kg
9,TUR,meltem hocaoglu akyol,,Tokyo 2020,Karate,Women's Kumite +61kg
