,country,participant,result,olympic_game,discipline,event
0,,,92.100,Tokyo 2020,Rhythmic Gymnastics,Group All-Around
1,,,90.700,Tokyo 2020,Rhythmic Gymnastics,Group All-Around
2,,,87.700,Tokyo 2020,Rhythmic Gymnastics,Group All-Around
3,,,84.550,Tokyo 2020,Rhythmic Gymnastics,Group All-Around
4,,,84.050,Tokyo 2020,Rhythmic Gymnastics,Group All-Around
5,,,83.850,Tokyo 2020,Rhythmic Gymnastics,Group All-Around
6,,,77.600,Tokyo 2020,Rhythmic Gymnastics,Group All-Around
7,,,72.500,Tokyo 2020,Rhythmic Gymnastics,Group All-Around
0,ISR,linoy ashram,107.800,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
1,ROC,dina averina,107.650,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
2,BLR,alina harnasko,102.700,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
3,ROC,arina averina,102.100,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
4,BUL,boryana kaleyn,100.625,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
5,ITA,milena baldassarri,99.625,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
6,ISR,nicol zelikman,95.600,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
7,BLR,anastasiia salos,95.175,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
8,UKR,khrystyna pohranychna,95.100,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
9,UKR,viktoriia onopriienko,93.350,Tokyo 2020,Rhythmic Gymnastics,Individual All-Around
