,country,participant,result,olympic_game,discipline,event
0,IRI,javad foroughi,244.8,Tokyo 2020,Shooting,10m Air Pistol Men
1,SRB,damir mikec,237.9,Tokyo 2020,Shooting,10m Air Pistol Men
2,CHN,wei pang,217.6,Tokyo 2020,Shooting,10m Air Pistol Men
3,UKR,pavlo korostylov,198.9,Tokyo 2020,Shooting,10m Air Pistol Men
4,GER,christian reitz,176.6,Tokyo 2020,Shooting,10m Air Pistol Men
5,CHN,bowen zhang,158.2,Tokyo 2020,Shooting,10m Air Pistol Men
6,IND,chaudhary saurabh,137.4,Tokyo 2020,Shooting,10m Air Pistol Men
7,KOR,mose kim,115.8,Tokyo 2020,Shooting,10m Air Pistol Men
8,PAK,gulfam joseph,,Tokyo 2020,Shooting,10m Air Pistol Men
9,USA,james hall,,Tokyo 2020,Shooting,10m Air Pistol Men
10,ROC,artem chernousov,,Tokyo 2020,Shooting,10m Air Pistol Men
11,MGL,davaakhuu enkhtaivan,,Tokyo 2020,Shooting,10m Air Pistol Men
12,USA,nickolaus mowrer,,Tokyo 2020,Shooting,10m Air Pistol Men
13,MYA,ye tun naung,,Tokyo 2020,Shooting,10m Air Pistol Men
14,KOR,jong oh jin,,Tokyo 2020,Shooting,10m Air Pistol Men
15,JPN,kojiro horimizu,,Tokyo 2020,Shooting,10m Air Pistol Men
16,IND,abhishek verma,,Tokyo 2020,Shooting,10m Air Pistol Men
17,UKR,oleh omelchuk,,Tokyo 2020,Shooting,10m Air Pistol Men
18,CUB,jorge grau potrille,,Tokyo 2020,Shooting,10m Air Pistol Men
19,AZE,ruslan lunev,,Tokyo 2020,Shooting,10m Air Pistol Men
20,MKD,borjan brankovski,,Tokyo 2020,Shooting,10m Air Pistol Men
21,VIE,xuan vinh hoang,,Tokyo 2020,Shooting,10m Air Pistol Men
22,ROC,vadim mukhametyanov,,Tokyo 2020,Shooting,10m Air Pistol Men
23,TUR,yusuf dikec,,Tokyo 2020,Shooting,10m Air Pistol Men
24,TUR,ismail keles,,Tokyo 2020,Shooting,10m Air Pistol Men
25,ITA,paolo monna,,Tokyo 2020,Shooting,10m Air Pistol Men
26,SVK,juraj tuzinsky,,Tokyo 2020,Shooting,10m Air Pistol Men
27,ISL,asgeir sigurgeirsson,,Tokyo 2020,Shooting,10m Air Pistol Men
28,PER,marko carrillo,,Tokyo 2020,Shooting,10m Air Pistol Men
29,AUS,daniel repacholi,,Tokyo 2020,Shooting,10m Air Pistol Men
30,EGY,samy abdel razek,,Tokyo 2020,Shooting,10m Air Pistol Men
31,BRA,felipe almeida wu,,Tokyo 2020,Shooting,10m Air Pistol Men
32,EST,peeter olesk,,Tokyo 2020,Shooting,10m Air Pistol Men
33,TUN,ala alothmani,,Tokyo 2020,Shooting,10m Air Pistol Men
34,ARU,philip elhage,,Tokyo 2020,Shooting,10m Air Pistol Men
35,NCA,edwin orlando barberena mercado,,Tokyo 2020,Shooting,10m Air Pistol Men
0,CHN,wei pang,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
1,ROC,artem chernousov,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
2,UKR,oleh omelchuk,16,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
3,SRB,damir mikec,12,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
4,IRI,haniyeh rostamiyan,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
5,CHN,qian wang,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
6,IND,manu bhaker,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
7,AUS,dina aspandiyarova,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
8,KOR,jong oh jin,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
9,USA,james hall,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
10,KOR,bomi kim,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
11,GER,carina wimmer,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
12,MGL,davaakhuu enkhtaivan,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
13,CUB,laina perez,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
14,ROC,anton aristarkhov,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
15,USA,alexis lagan,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
16,IND,yashaswini singh deswal,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
17,EGY,radwa abdel latif,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
18,TUN,olfa charni,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
19,JPN,satoko yamada,,Tokyo 2020,Shooting,10m Air Pistol Mixed Team
0,ROC,vitalina batsarashkina,240.3,Tokyo 2020,Shooting,10m Air Pistol women
1,BUL,antoaneta boneva,239.4,Tokyo 2020,Shooting,10m Air Pistol women
2,CHN,ranxin jiang,218.0,Tokyo 2020,Shooting,10m Air Pistol women
3,UKR,olena kostevych,197.6,Tokyo 2020,Shooting,10m Air Pistol women
4,CHN,yuemei lin,176.6,Tokyo 2020,Shooting,10m Air Pistol women
5,GRE,anna korakaki,157.4,Tokyo 2020,Shooting,10m Air Pistol women
6,FRA,mathilde lamolle,134.6,Tokyo 2020,Shooting,10m Air Pistol women
7,FRA,celine goberville,114.9,Tokyo 2020,Shooting,10m Air Pistol women
8,MGL,anudari tsolmonbaatar,,Tokyo 2020,Shooting,10m Air Pistol women
9,IRI,haniyeh rostamiyan,,Tokyo 2020,Shooting,10m Air Pistol women
10,BLR,viktoria chaika,,Tokyo 2020,Shooting,10m Air Pistol women
11,IND,manu bhaker,,Tokyo 2020,Shooting,10m Air Pistol women
12,IND,yashaswini singh deswal,,Tokyo 2020,Shooting,10m Air Pistol women
13,TPE,chia ying wu,,Tokyo 2020,Shooting,10m Air Pistol women
14,AUT,sylvia steiner,,Tokyo 2020,Shooting,10m Air Pistol women
15,KOR,gaeun choo,,Tokyo 2020,Shooting,10m Air Pistol women
16,SRB,zorana arunovic,,Tokyo 2020,Shooting,10m Air Pistol women
17,ARM,elmira karapetyan,,Tokyo 2020,Shooting,10m Air Pistol women
18,LAT,agate rasmane,,Tokyo 2020,Shooting,10m Air Pistol women
19,GER,carina wimmer,,Tokyo 2020,Shooting,10m Air Pistol women
20,POL,klaudia bres,,Tokyo 2020,Shooting,10m Air Pistol women
21,THA,tanyaporn prucksakorn,,Tokyo 2020,Shooting,10m Air Pistol women
22,JPN,satoko yamada,,Tokyo 2020,Shooting,10m Air Pistol women
23,KOR,bomi kim,,Tokyo 2020,Shooting,10m Air Pistol women
24,TUN,olfa charni,,Tokyo 2020,Shooting,10m Air Pistol women
25,MLT,eleanor bezzina,,Tokyo 2020,Shooting,10m Air Pistol women
26,AUS,elena galiabovitch,,Tokyo 2020,Shooting,10m Air Pistol women
27,SUI,heidi diethelm gerber,,Tokyo 2020,Shooting,10m Air Pistol women
28,GER,monika karsch,,Tokyo 2020,Shooting,10m Air Pistol women
29,MGL,gundegmaa otryad,,Tokyo 2020,Shooting,10m Air Pistol women
30,GEO,nino salukvadze,,Tokyo 2020,Shooting,10m Air Pistol women
31,CUB,laina perez,,Tokyo 2020,Shooting,10m Air Pistol women
32,SRB,jasmina milovanovic,,Tokyo 2020,Shooting,10m Air Pistol women
33,HUN,veronika major,,Tokyo 2020,Shooting,10m Air Pistol women
34,ROC,margarita lomova,,Tokyo 2020,Shooting,10m Air Pistol women
35,ECU,andrea perez pena,,Tokyo 2020,Shooting,10m Air Pistol women
36,ALB,manuela delilaj,,Tokyo 2020,Shooting,10m Air Pistol women
37,USA,alexis lagan,,Tokyo 2020,Shooting,10m Air Pistol women
38,THA,naphaswan yangpaiboon,,Tokyo 2020,Shooting,10m Air Pistol women
39,EGY,radwa abdel latif,,Tokyo 2020,Shooting,10m Air Pistol women
40,EGY,hala elgohari,,Tokyo 2020,Shooting,10m Air Pistol women
41,TPE,chia chen tien,,Tokyo 2020,Shooting,10m Air Pistol women
42,BUL,maria grozdeva,,Tokyo 2020,Shooting,10m Air Pistol women
43,JOR,asma abu rabee,,Tokyo 2020,Shooting,10m Air Pistol women
44,ECU,diana durango flores,,Tokyo 2020,Shooting,10m Air Pistol women
45,AUS,dina aspandiyarova,,Tokyo 2020,Shooting,10m Air Pistol women
46,CAN,lynda kiejko,,Tokyo 2020,Shooting,10m Air Pistol women
47,MDA,anna dulce,,Tokyo 2020,Shooting,10m Air Pistol women
48,USA,sandra uptagrafft,,Tokyo 2020,Shooting,10m Air Pistol women
49,JPN,chizuru sasaki,,Tokyo 2020,Shooting,10m Air Pistol women
50,IRQ,fatimah abbas waheeb al-kaabi,,Tokyo 2020,Shooting,10m Air Pistol women
51,YEM,yasameen al-raimi,,Tokyo 2020,Shooting,10m Air Pistol women
52,MNE,jelena pantovic,,Tokyo 2020,Shooting,10m Air Pistol women
0,USA,william shaner,251.6,Tokyo 2020,Shooting,10m Air Rifle Men
1,CHN,lihao sheng,250.9,Tokyo 2020,Shooting,10m Air Rifle Men
2,CHN,haoran yang,229.4,Tokyo 2020,Shooting,10m Air Rifle Men
3,TUR,omer akgun,207.3,Tokyo 2020,Shooting,10m Air Rifle Men
4,HUN,istvan peni,186.5,Tokyo 2020,Shooting,10m Air Rifle Men
5,USA,lucas kozeniesky,165.0,Tokyo 2020,Shooting,10m Air Rifle Men
6,SVK,patrik jany,143.7,Tokyo 2020,Shooting,10m Air Rifle Men
7,ROC,vladimir maslennikov,123.0,Tokyo 2020,Shooting,10m Air Rifle Men
8,IRI,mahyar sedaghat,,Tokyo 2020,Shooting,10m Air Rifle Men
9,ROC,sergey kamenskiy,,Tokyo 2020,Shooting,10m Air Rifle Men
10,NOR,henrik larsen,,Tokyo 2020,Shooting,10m Air Rifle Men
11,KOR,taeyun nam,,Tokyo 2020,Shooting,10m Air Rifle Men
12,AUT,martin strempfl,,Tokyo 2020,Shooting,10m Air Rifle Men
13,CZE,jiri privratsky,,Tokyo 2020,Shooting,10m Air Rifle Men
14,BLR,yury shcherbatsevich,,Tokyo 2020,Shooting,10m Air Rifle Men
15,CRO,petar gorsa,,Tokyo 2020,Shooting,10m Air Rifle Men
16,TPE,shao-chuan lu,,Tokyo 2020,Shooting,10m Air Rifle Men
17,MEX,edson ismael ramirez ramos,,Tokyo 2020,Shooting,10m Air Rifle Men
18,CZE,david hrckulak,,Tokyo 2020,Shooting,10m Air Rifle Men
19,JPN,naoya okada,,Tokyo 2020,Shooting,10m Air Rifle Men
20,AUS,alex chresten hoberg,,Tokyo 2020,Shooting,10m Air Rifle Men
