,country,participant,result,olympic_game,discipline,event
0,ITA,vito dell'aquila,,Tokyo 2020,Taekwondo,Men -58kg
1,TUN,mohamed khalil jendoubi,,Tokyo 2020,Taekwondo,Men -58kg
2,KOR,jun jang,,Tokyo 2020,Taekwondo,Men -58kg
3,ROC,mikhail artamonov,,Tokyo 2020,Taekwondo,Men -58kg
4,ARG,lucas guzman,,Tokyo 2020,Taekwondo,Men -58kg
5,HUN,omar salim,,Tokyo 2020,Taekwondo,Men -58kg
6,ETH,solomon demse,,Tokyo 2020,Taekwondo,Men -58kg
7,THA,ramnarong sawekwiharee,,Tokyo 2020,Taekwondo,Men -58kg
8,ESP,adrian vicente yunta,,Tokyo 2020,Taekwondo,Men -58kg
9,IRI,armin hadipour seighalani,,Tokyo 2020,Taekwondo,Men -58kg
10,AUS,safwan khalil,,Tokyo 2020,Taekwondo,Men -58kg
11,COL,jefferson alfredo ochoa fernandez,,Tokyo 2020,Taekwondo,Men -58kg
12,IRL,jack woolley,,Tokyo 2020,Taekwondo,Men -58kg
13,JPN,sergio suzuki,,Tokyo 2020,Taekwondo,Men -58kg
14,PHI,kurt bryan barbosa,,Tokyo 2020,Taekwondo,Men -58kg
15,POR,rui braganca,,Tokyo 2020,Taekwondo,Men -58kg
0,UZB,ulugbek rashitov,,Tokyo 2020,Taekwondo,Men -68kg
1,GBR,bradly sinden,,Tokyo 2020,Taekwondo,Men -68kg
2,CHN,shuai zhao,,Tokyo 2020,Taekwondo,Men -68kg
3,TUR,hakan recber,,Tokyo 2020,Taekwondo,Men -68kg
4,BIH,nedzad husic,,Tokyo 2020,Taekwondo,Men -68kg
5,KOR,daehoon lee,,Tokyo 2020,Taekwondo,Men -68kg
6,IRI,mirhashem hosseini,,Tokyo 2020,Taekwondo,Men -68kg
7,NZL,tom burns,,Tokyo 2020,Taekwondo,Men -68kg
8,DOM,bernardo pie,,Tokyo 2020,Taekwondo,Men -68kg
9,EGY,abdelrahman wael mahmoud abow,,Tokyo 2020,Taekwondo,Men -68kg
10,MLI,seydou fofana,,Tokyo 2020,Taekwondo,Men -68kg
11,BEL,jaouad achab,,Tokyo 2020,Taekwondo,Men -68kg
12,BRA,edival marques quirino pontes,,Tokyo 2020,Taekwondo,Men -68kg
13,EOR,abdullah sediqi,,Tokyo 2020,Taekwondo,Men -68kg
14,ESP,javier perez polo,,Tokyo 2020,Taekwondo,Men -68kg
15,JPN,ricardo suzuki,,Tokyo 2020,Taekwondo,Men -68kg
16,TPE,yu-jen huang,,Tokyo 2020,Taekwondo,Men -68kg
0,ROC,maksim khramtcov,,Tokyo 2020,Taekwondo,Men -80kg
1,JOR,saleh elsharabaty,,Tokyo 2020,Taekwondo,Men -80kg
2,CRO,toni kanaet,,Tokyo 2020,Taekwondo,Men -80kg
3,EGY,seif eissa,,Tokyo 2020,Taekwondo,Men -80kg
4,NOR,richard andre ordemann,,Tokyo 2020,Taekwondo,Men -80kg
5,UZB,nikita rafalovich,,Tokyo 2020,Taekwondo,Men -80kg
6,BUR,faysal sawadogo,,Tokyo 2020,Taekwondo,Men -80kg
7,MAR,achraf mahboubi,,Tokyo 2020,Taekwondo,Men -80kg
8,AZE,milad beigi harchegani,,Tokyo 2020,Taekwondo,Men -80kg
9,ITA,simone alessio,,Tokyo 2020,Taekwondo,Men -80kg
10,AUS,jack marton,,Tokyo 2020,Taekwondo,Men -80kg
11,BRA,icaro miguel martins soares,,Tokyo 2020,Taekwondo,Men -80kg
12,CIV,cheick sallah junior cisse,,Tokyo 2020,Taekwondo,Men -80kg
13,DOM,moises daniel hernandez encarnacion,,Tokyo 2020,Taekwondo,Men -80kg
14,ESP,raul martinez garcia,,Tokyo 2020,Taekwondo,Men -80kg
15,TPE,wei-ting liu,,Tokyo 2020,Taekwondo,Men -80kg
0,ROC,vladislav larin,,Tokyo 2020,Taekwondo,Men +80kg
1,MKD,dejan georgievski,,Tokyo 2020,Taekwondo,Men +80kg
2,CUB,rafael alba castillo,,Tokyo 2020,Taekwondo,Men +80kg
