,country,participant,result,olympic_game,discipline,event
0,EST,kristina smigun-vaehi,00:27:51.400,Turin 2006,Cross Country Skiing,10km women
1,NOR,marit bjoergen,00:28:12.700,Turin 2006,Cross Country Skiing,10km women
2,NOR,hilde g pedersen,00:28:14.000,Turin 2006,Cross Country Skiing,10km women
3,NOR,kristin stoermer steira,00:28:21.000,Turin 2006,Cross Country Skiing,10km women
4,CZE,katerina neumannova,00:28:22.200,Turin 2006,Cross Country Skiing,10km women
5,SLO,petra majdic,00:28:22.300,Turin 2006,Cross Country Skiing,10km women
6,FIN,aino-kaisa saarinen,00:28:29.600,Turin 2006,Cross Country Skiing,10km women
7,CAN,sara renner,00:28:33.000,Turin 2006,Cross Country Skiing,10km women
8,FIN,virpi kuitunen,00:28:51.400,Turin 2006,Cross Country Skiing,10km women
9,GER,viola bauer,00:29:03.600,Turin 2006,Cross Country Skiing,10km women
10,SWE,britta johansson norgren,00:29:07.100,Turin 2006,Cross Country Skiing,10km women
11,NOR,kristin murer stemland,00:29:20.500,Turin 2006,Cross Country Skiing,10km women
12,ITA,gabriella paruzzi,00:29:24.000,Turin 2006,Cross Country Skiing,10km women
13,KAZ,svetlana malahova-shishkina,00:29:24.100,Turin 2006,Cross Country Skiing,10km women
14,SUI,seraina mischol,00:29:30.400,Turin 2006,Cross Country Skiing,10km women
15,RUS,natalia baranova,00:29:30.900,Turin 2006,Cross Country Skiing,10km women
16,GER,claudia nystad,00:29:31.600,Turin 2006,Cross Country Skiing,10km women
17,CHN,chunli wang,00:29:34.600,Turin 2006,Cross Country Skiing,10km women
18,RUS,larisa kurkina,00:29:36.800,Turin 2006,Cross Country Skiing,10km women
19,GER,evi sachenbacher-stehle,00:29:38.400,Turin 2006,Cross Country Skiing,10km women
20,UKR,valentina shevchenko,00:29:40.400,Turin 2006,Cross Country Skiing,10km women
21,FRA,elodie bourgeois pin,00:29:40.600,Turin 2006,Cross Country Skiing,10km women
22,SWE,elin ek,00:29:40.900,Turin 2006,Cross Country Skiing,10km women
23,RUS,olga savialova,00:29:57.600,Turin 2006,Cross Country Skiing,10km women
24,SUI,laurence rochat,00:30:02.200,Turin 2006,Cross Country Skiing,10km women
25,RUS,yuliya chepalova,00:30:04.700,Turin 2006,Cross Country Skiing,10km women
26,UKR,tetiana antypenko,00:30:13.200,Turin 2006,Cross Country Skiing,10km women
27,SVK,alena prochazkova,00:30:13.600,Turin 2006,Cross Country Skiing,10km women
28,BLR,alena sannikova,00:30:15.100,Turin 2006,Cross Country Skiing,10km women
29,BLR,lyudmila korolik,00:30:23.600,Turin 2006,Cross Country Skiing,10km women
30,JPN,masako ishida,00:30:24.000,Turin 2006,Cross Country Skiing,10km women
31,CZE,kamila rajdlova,00:30:25.200,Turin 2006,Cross Country Skiing,10km women
32,SWE,lina andersson,00:30:25.500,Turin 2006,Cross Country Skiing,10km women
33,ITA,antonella confortola wyatt,00:30:26.900,Turin 2006,Cross Country Skiing,10km women
34,FIN,riitta-liisa roponen,00:30:28.400,Turin 2006,Cross Country Skiing,10km women
35,CHN,hongxue li,00:30:33.900,Turin 2006,Cross Country Skiing,10km women
36,FRA,aurelie storti,00:30:35.900,Turin 2006,Cross Country Skiing,10km women
37,GER,stefanie boehler,00:30:43.200,Turin 2006,Cross Country Skiing,10km women
38,ITA,cristina paluselli,00:30:46.000,Turin 2006,Cross Country Skiing,10km women
39,KAZ,yevgeniya voloshenko,00:30:47.100,Turin 2006,Cross Country Skiing,10km women
40,SUI,seraina boner,00:30:58.000,Turin 2006,Cross Country Skiing,10km women
41,KAZ,yelena volodina-antonova,00:31:04.400,Turin 2006,Cross Country Skiing,10km women
42,FIN,kati venalainen,00:31:04.900,Turin 2006,Cross Country Skiing,10km women
43,UKR,kateryna grygorenko,00:31:16.600,Turin 2006,Cross Country Skiing,10km women
44,CZE,eva vrabcova - nyvltova,00:31:25.800,Turin 2006,Cross Country Skiing,10km women
45,CAN,milaine theriault,00:31:30.400,Turin 2006,Cross Country Skiing,10km women
46,SWE,emelie oehrstig,00:31:31.600,Turin 2006,Cross Country Skiing,10km women
47,ITA,magda genuin,00:31:37.800,Turin 2006,Cross Country Skiing,10km women
48,EST,silja suija,00:31:40.900,Turin 2006,Cross Country Skiing,10km women
49,USA,wendy kay wagner,00:31:41.000,Turin 2006,Cross Country Skiing,10km women
50,EST,tatjana mannima,00:31:46.800,Turin 2006,Cross Country Skiing,10km women
51,TUR,kelime cetinkaya,00:31:47.100,Turin 2006,Cross Country Skiing,10km women
52,USA,kikkan randall,00:31:49.700,Turin 2006,Cross Country Skiing,10km women
53,CAN,amanda ammar,00:31:51.700,Turin 2006,Cross Country Skiing,10km women
54,CHN,li huo,00:31:58.700,Turin 2006,Cross Country Skiing,10km women
55,EST,kaili sirge,00:32:06.600,Turin 2006,Cross Country Skiing,10km women
56,USA,abby larson,00:32:09.000,Turin 2006,Cross Country Skiing,10km women
57,CHN,chunli jiang,00:32:22.100,Turin 2006,Cross Country Skiing,10km women
58,USA,lindsey dehlin,00:32:43.300,Turin 2006,Cross Country Skiing,10km women
59,ROU,monika gyorgy,00:32:44.000,Turin 2006,Cross Country Skiing,10km women
60,KAZ,nataliya isachenko,00:32:52.900,Turin 2006,Cross Country Skiing,10km women
61,KOR,chaewon lee,00:32:57.800,Turin 2006,Cross Country Skiing,10km women
62,ESP,laura orgue,00:33:18.600,Turin 2006,Cross Country Skiing,10km women
63,ESP,laia aubert torrents,00:33:29.400,Turin 2006,Cross Country Skiing,10km women
64,SLO,maja benedicic,00:33:41.300,Turin 2006,Cross Country Skiing,10km women
65,CRO,maja kezele,00:35:04.200,Turin 2006,Cross Country Skiing,10km women
66,BRA,jaqueline mourao,00:35:59.700,Turin 2006,Cross Country Skiing,10km women
67,MGL,ochirsuren erdene ochir,00:36:40.100,Turin 2006,Cross Country Skiing,10km women
68,HUN,leila gyenesei,00:36:43.000,Turin 2006,Cross Country Skiing,10km women
69,BIH,vedrana vucicevic,00:42:45.800,Turin 2006,Cross Country Skiing,10km women
70,CAN,beckie scott,Disqualified,Turin 2006,Cross Country Skiing,10km women
71,POL,justyna kowalczyk,Did not finish,Turin 2006,Cross Country Skiing,10km women
0,EST,kristina smigun-vaehi,00:27:51.400,Turin 2006,Cross Country Skiing,15km men
1,NOR,marit bjoergen,00:28:12.700,Turin 2006,Cross Country Skiing,15km men
2,NOR,hilde g pedersen,00:28:14.000,Turin 2006,Cross Country Skiing,15km men
3,NOR,kristin stoermer steira,00:28:21.000,Turin 2006,Cross Country Skiing,15km men
4,CZE,katerina neumannova,00:28:22.200,Turin 2006,Cross Country Skiing,15km men
5,SLO,petra majdic,00:28:22.300,Turin 2006,Cross Country Skiing,15km men
6,FIN,aino-kaisa saarinen,00:28:29.600,Turin 2006,Cross Country Skiing,15km men
7,CAN,sara renner,00:28:33.000,Turin 2006,Cross Country Skiing,15km men
8,FIN,virpi kuitunen,00:28:51.400,Turin 2006,Cross Country Skiing,15km men
9,GER,viola bauer,00:29:03.600,Turin 2006,Cross Country Skiing,15km men
10,SWE,britta johansson norgren,00:29:07.100,Turin 2006,Cross Country Skiing,15km men
11,NOR,kristin murer stemland,00:29:20.500,Turin 2006,Cross Country Skiing,15km men
12,ITA,gabriella paruzzi,00:29:24.000,Turin 2006,Cross Country Skiing,15km men
13,KAZ,svetlana malahova-shishkina,00:29:24.100,Turin 2006,Cross Country Skiing,15km men
14,SUI,seraina mischol,00:29:30.400,Turin 2006,Cross Country Skiing,15km men
15,RUS,natalia baranova,00:29:30.900,Turin 2006,Cross Country Skiing,15km men
16,GER,claudia nystad,00:29:31.600,Turin 2006,Cross Country Skiing,15km men
17,CHN,chunli wang,00:29:34.600,Turin 2006,Cross Country Skiing,15km men
18,RUS,larisa kurkina,00:29:36.800,Turin 2006,Cross Country Skiing,15km men
19,GER,evi sachenbacher-stehle,00:29:38.400,Turin 2006,Cross Country Skiing,15km men
20,UKR,valentina shevchenko,00:29:40.400,Turin 2006,Cross Country Skiing,15km men
21,FRA,elodie bourgeois pin,00:29:40.600,Turin 2006,Cross Country Skiing,15km men
22,SWE,elin ek,00:29:40.900,Turin 2006,Cross Country Skiing,15km men
23,RUS,olga savialova,00:29:57.600,Turin 2006,Cross Country Skiing,15km men
24,SUI,laurence rochat,00:30:02.200,Turin 2006,Cross Country Skiing,15km men
25,RUS,yuliya chepalova,00:30:04.700,Turin 2006,Cross Country Skiing,15km men
