,country,participant,result,olympic_game,discipline,event
0,,,81,Turin 2006,Ice Hockey,ice hockey men
1,,,71,Turin 2006,Ice Hockey,ice hockey men
2,,,56,Turin 2006,Ice Hockey,ice hockey men
3,,,63,Turin 2006,Ice Hockey,ice hockey men
4,,,44,Turin 2006,Ice Hockey,ice hockey men
5,,,26,Turin 2006,Ice Hockey,ice hockey men
6,,,40,Turin 2006,Ice Hockey,ice hockey men
7,,,42,Turin 2006,Ice Hockey,ice hockey men
8,,,18,Turin 2006,Ice Hockey,ice hockey men
9,,,16,Turin 2006,Ice Hockey,ice hockey men
10,,,22,Turin 2006,Ice Hockey,ice hockey men
11,,,26,Turin 2006,Ice Hockey,ice hockey men
0,,,111,Turin 2006,Ice Hockey,ice hockey women
1,,,43,Turin 2006,Ice Hockey,ice hockey women
2,,,56,Turin 2006,Ice Hockey,ice hockey women
3,,,19,Turin 2006,Ice Hockey,ice hockey women
4,,,16,Turin 2006,Ice Hockey,ice hockey women
5,,,22,Turin 2006,Ice Hockey,ice hockey women
6,,,27,Turin 2006,Ice Hockey,ice hockey women
7,,,7,Turin 2006,Ice Hockey,ice hockey women
