,country,participant,result,olympic_game,discipline,event
0,USA,bode miller,00:02:44.920,Vancouver 2010,Alpine Skiing,alpin combined men
1,CRO,ivica kostelic,00:02:45.250,Vancouver 2010,Alpine Skiing,alpin combined men
2,SUI,silvan zurbriggen,00:02:45.320,Vancouver 2010,Alpine Skiing,alpin combined men
3,SUI,carlo janka,00:02:45.540,Vancouver 2010,Alpine Skiing,alpin combined men
4,USA,ted ligety,00:02:45.820,Vancouver 2010,Alpine Skiing,alpin combined men
5,AUT,benjamin raich,00:02:46.130,Vancouver 2010,Alpine Skiing,alpin combined men
6,CZE,ondrej bank,00:02:46.190,Vancouver 2010,Alpine Skiing,alpin combined men
7,ITA,christof innerhofer,00:02:46.450,Vancouver 2010,Alpine Skiing,alpin combined men
8,NOR,kjetil jansrud,00:02:46.500,Vancouver 2010,Alpine Skiing,alpin combined men
9,USA,will brandenburg,00:02:47.060,Vancouver 2010,Alpine Skiing,alpin combined men
10,USA,andrew weibrecht,00:02:47.580,Vancouver 2010,Alpine Skiing,alpin combined men
11,FRA,adrien theaux,00:02:47.970,Vancouver 2010,Alpine Skiing,alpin combined men
12,ITA,dominik paris,00:02:47.990,Vancouver 2010,Alpine Skiing,alpin combined men
13,SUI,sandro viletta,00:02:48.190,Vancouver 2010,Alpine Skiing,alpin combined men
14,CAN,ryan semple,00:02:48.260,Vancouver 2010,Alpine Skiing,alpin combined men
15,SWE,markus larsson,00:02:48.300,Vancouver 2010,Alpine Skiing,alpin combined men
16,CZE,krystof kryzl,00:02:48.310,Vancouver 2010,Alpine Skiing,alpin combined men
17,FRA,julien lizeroux,00:02:48.360,Vancouver 2010,Alpine Skiing,alpin combined men
18,FRA,thomas mermillod-blondin,00:02:48.620,Vancouver 2010,Alpine Skiing,alpin combined men
19,CRO,natko zrncic dim,00:02:48.860,Vancouver 2010,Alpine Skiing,alpin combined men
20,RUS,alexander khoroshilov,00:02:49.280,Vancouver 2010,Alpine Skiing,alpin combined men
21,NOR,truls ove karlsen,00:02:49.310,Vancouver 2010,Alpine Skiing,alpin combined men
22,RUS,stepan zuev,00:02:49.750,Vancouver 2010,Alpine Skiing,alpin combined men
23,GER,stephan keppler,00:02:49.790,Vancouver 2010,Alpine Skiing,alpin combined men
24,AND,roger vidosa,00:02:50.330,Vancouver 2010,Alpine Skiing,alpin combined men
25,CAN,michael janyk,00:02:50.770,Vancouver 2010,Alpine Skiing,alpin combined men
26,SLO,andrej jerman,00:02:50.840,Vancouver 2010,Alpine Skiing,alpin combined men
27,CZE,filip trejbal,00:02:50.850,Vancouver 2010,Alpine Skiing,alpin combined men
28,GBR,edward drake,00:02:50.910,Vancouver 2010,Alpine Skiing,alpin combined men
29,CAN,louis-pierre helie,00:02:51.580,Vancouver 2010,Alpine Skiing,alpin combined men
30,CZE,martin vrablik,00:02:52.460,Vancouver 2010,Alpine Skiing,alpin combined men
31,CAN,tyler nella,00:02:52.650,Vancouver 2010,Alpine Skiing,alpin combined men
32,KAZ,igor zakurdayev,00:02:56.200,Vancouver 2010,Alpine Skiing,alpin combined men
33,BUL,stefan georgiev,00:02:57.410,Vancouver 2010,Alpine Skiing,alpin combined men
34,NOR,aksel lund svindal,Did not finish,Vancouver 2010,Alpine Skiing,alpin combined men
35,SUI,didier defago,Did not finish,Vancouver 2010,Alpine Skiing,alpin combined men
36,SWE,hans olsson,Did not finish,Vancouver 2010,Alpine Skiing,alpin combined men
37,ITA,peter fill,Did not finish,Vancouver 2010,Alpine Skiing,alpin combined men
