,country,participant,result,olympic_game,discipline,event
0,SWE,charlotte kalla,00:24:58.400,Vancouver 2010,Cross Country Skiing,10km women
1,EST,kristina smigun-vaehi,00:25:05.000,Vancouver 2010,Cross Country Skiing,10km women
2,NOR,marit bjoergen,00:25:14.300,Vancouver 2010,Cross Country Skiing,10km women
3,SWE,anna haag,00:25:19.300,Vancouver 2010,Cross Country Skiing,10km women
4,POL,justyna kowalczyk,00:25:20.100,Vancouver 2010,Cross Country Skiing,10km women
5,FIN,riitta-liisa roponen,00:25:24.300,Vancouver 2010,Cross Country Skiing,10km women
6,RUS,evgenia medvedeva,00:25:26.500,Vancouver 2010,Cross Country Skiing,10km women
7,NOR,kristin stoermer steira,00:25:50.500,Vancouver 2010,Cross Country Skiing,10km women
8,UKR,valentina shevchenko,00:25:51.100,Vancouver 2010,Cross Country Skiing,10km women
9,KAZ,svetlana malahova-shishkina,00:25:53.900,Vancouver 2010,Cross Country Skiing,10km women
10,ITA,arianna follis,00:25:54.100,Vancouver 2010,Cross Country Skiing,10km women
11,GER,evi sachenbacher-stehle,00:25:57.700,Vancouver 2010,Cross Country Skiing,10km women
12,RUS,olga savialova,00:25:57.700,Vancouver 2010,Cross Country Skiing,10km women
13,ITA,silvia rupil,00:25:58.500,Vancouver 2010,Cross Country Skiing,10km women
14,FIN,aino-kaisa saarinen,00:25:59.500,Vancouver 2010,Cross Country Skiing,10km women
15,GER,claudia nystad,00:25:59.800,Vancouver 2010,Cross Country Skiing,10km women
16,ITA,sabina valbusa,00:26:05.800,Vancouver 2010,Cross Country Skiing,10km women
17,ITA,marianna longa,00:26:06.200,Vancouver 2010,Cross Country Skiing,10km women
18,RUS,nataliya korostelyova,00:26:07.000,Vancouver 2010,Cross Country Skiing,10km women
19,RUS,irina khazova,00:26:08.700,Vancouver 2010,Cross Country Skiing,10km women
20,GER,miriam goessner,00:26:14.800,Vancouver 2010,Cross Country Skiing,10km women
21,NOR,vibeke skofterud,00:26:16.300,Vancouver 2010,Cross Country Skiing,10km women
22,GER,stefanie boehler,00:26:19.200,Vancouver 2010,Cross Country Skiing,10km women
23,SWE,anna dahlberg-olsson,00:26:23.100,Vancouver 2010,Cross Country Skiing,10km women
24,CZE,kamila rajdlova,00:26:26.200,Vancouver 2010,Cross Country Skiing,10km women
25,FRA,karine philippot,00:26:27.900,Vancouver 2010,Cross Country Skiing,10km women
26,KAZ,yelena kolomina,00:26:35.600,Vancouver 2010,Cross Country Skiing,10km women
27,POL,sylwia jaskowiec,00:26:37.200,Vancouver 2010,Cross Country Skiing,10km women
28,SWE,britta johansson norgren,00:26:48.100,Vancouver 2010,Cross Country Skiing,10km women
29,USA,caitlin gregg,00:26:49.100,Vancouver 2010,Cross Country Skiing,10km women
30,FIN,riikka sarasoja,00:26:50.200,Vancouver 2010,Cross Country Skiing,10km women
31,CZE,ivana janeckova,00:26:51.300,Vancouver 2010,Cross Country Skiing,10km women
32,SLO,vesna fabjan,00:26:51.600,Vancouver 2010,Cross Country Skiing,10km women
33,USA,morgan arritola,00:27:04.400,Vancouver 2010,Cross Country Skiing,10km women
34,CHN,hongxue li,00:27:05.700,Vancouver 2010,Cross Country Skiing,10km women
35,KAZ,tatyana ossipova,00:27:06.600,Vancouver 2010,Cross Country Skiing,10km women
36,UKR,maryna antsybor,00:27:07.400,Vancouver 2010,Cross Country Skiing,10km women
37,ESP,laura orgue,00:27:09.400,Vancouver 2010,Cross Country Skiing,10km women
38,KAZ,oksana yatskaya,00:27:16.300,Vancouver 2010,Cross Country Skiing,10km women
39,SLO,barbara jezersek,00:27:17.300,Vancouver 2010,Cross Country Skiing,10km women
40,USA,holly brooks,00:27:17.600,Vancouver 2010,Cross Country Skiing,10km women
41,ROU,monika gyorgy,00:27:19.500,Vancouver 2010,Cross Country Skiing,10km women
42,BLR,alena sannikova,00:27:21.300,Vancouver 2010,Cross Country Skiing,10km women
43,POL,paulina maciuszek,00:27:22.100,Vancouver 2010,Cross Country Skiing,10km women
44,UKR,kateryna grygorenko,00:27:29.700,Vancouver 2010,Cross Country Skiing,10km women
45,FRA,aurore jean,00:27:30.200,Vancouver 2010,Cross Country Skiing,10km women
46,FRA,celia bourgeois,00:27:31.400,Vancouver 2010,Cross Country Skiing,10km women
47,NOR,marthe kristoffersen,00:27:38.400,Vancouver 2010,Cross Country Skiing,10km women
