,country,participant,result,olympic_game,discipline,event
0,BLR,alexei grishin,248.41,Vancouver 2010,Freestyle Skiing,Aerials men
1,USA,jeret peterson,247.21,Vancouver 2010,Freestyle Skiing,Aerials men
2,CHN,zhongqing liu,242.53,Vancouver 2010,Freestyle Skiing,Aerials men
3,USA,ryan st. onge,239.93,Vancouver 2010,Freestyle Skiing,Aerials men
4,CAN,kyle nissen,239.31,Vancouver 2010,Freestyle Skiing,Aerials men
5,CHN,zongyang jia,237.57,Vancouver 2010,Freestyle Skiing,Aerials men
6,CHN,guangpu qi,234.85,Vancouver 2010,Freestyle Skiing,Aerials men
7,CAN,steve omischl,233.66,Vancouver 2010,Freestyle Skiing,Aerials men
8,BLR,timofei slivets,225.58,Vancouver 2010,Freestyle Skiing,Aerials men
9,CAN,warren shouldice,223.30,Vancouver 2010,Freestyle Skiing,Aerials men
10,BLR,dzmitry dashchynski,215.68,Vancouver 2010,Freestyle Skiing,Aerials men
11,SUI,thomas lambert,210.90,Vancouver 2010,Freestyle Skiing,Aerials men
12,AUS,david morris,,Vancouver 2010,Freestyle Skiing,Aerials men
13,SUI,andreas isoz,,Vancouver 2010,Freestyle Skiing,Aerials men
14,BLR,anton kushnir,,Vancouver 2010,Freestyle Skiing,Aerials men
15,SUI,christian haechler,,Vancouver 2010,Freestyle Skiing,Aerials men
16,USA,matthew depeters,,Vancouver 2010,Freestyle Skiing,Aerials men
17,SUI,renato ulrich,,Vancouver 2010,Freestyle Skiing,Aerials men
18,UKR,stanislav kravchuk,,Vancouver 2010,Freestyle Skiing,Aerials men
19,RUS,dmitry marushchak,,Vancouver 2010,Freestyle Skiing,Aerials men
20,CHN,xiaopeng han,,Vancouver 2010,Freestyle Skiing,Aerials men
21,UKR,enver ablaev,,Vancouver 2010,Freestyle Skiing,Aerials men
22,USA,scotty bahrke,,Vancouver 2010,Freestyle Skiing,Aerials men
23,UKR,oleksandr abramenko,,Vancouver 2010,Freestyle Skiing,Aerials men
24,RUS,yury shapkin,Did not start,Vancouver 2010,Freestyle Skiing,Aerials men
0,AUS,lydia lassila,214.74,Vancouver 2010,Freestyle Skiing,Aerials women
1,CHN,nina li,207.23,Vancouver 2010,Freestyle Skiing,Aerials women
2,CHN,xinxin guo,205.22,Vancouver 2010,Freestyle Skiing,Aerials women
3,BLR,assoli slivets,198.69,Vancouver 2010,Freestyle Skiing,Aerials women
4,AUS,jacqui cooper,194.29,Vancouver 2010,Freestyle Skiing,Aerials women
5,CHN,mengtao xu,191.61,Vancouver 2010,Freestyle Skiing,Aerials women
6,CHN,shuang cheng,187.87,Vancouver 2010,Freestyle Skiing,Aerials women
7,BLR,alla tsuper,181.84,Vancouver 2010,Freestyle Skiing,Aerials women
8,USA,lacy schnoor,172.89,Vancouver 2010,Freestyle Skiing,Aerials women
9,USA,ashley caldwell,171.10,Vancouver 2010,Freestyle Skiing,Aerials women
10,USA,emily cook,148.92,Vancouver 2010,Freestyle Skiing,Aerials women
11,AUS,elizabeth gardner,86.70,Vancouver 2010,Freestyle Skiing,Aerials women
12,UKR,nadiya didenko,,Vancouver 2010,Freestyle Skiing,Aerials women
13,UKR,olga volkova,,Vancouver 2010,Freestyle Skiing,Aerials women
14,CAN,veronika bauer,,Vancouver 2010,Freestyle Skiing,Aerials women
15,SUI,evelyne leu,,Vancouver 2010,Freestyle Skiing,Aerials women
16,USA,jana lindsey,,Vancouver 2010,Freestyle Skiing,Aerials women
17,AUS,bree munro,,Vancouver 2010,Freestyle Skiing,Aerials women
18,SUI,tanja schaerer,,Vancouver 2010,Freestyle Skiing,Aerials women
19,UKR,olha poliuk,,Vancouver 2010,Freestyle Skiing,Aerials women
20,CZE,martina konopova,,Vancouver 2010,Freestyle Skiing,Aerials women
21,GBR,sarah ainsworth,,Vancouver 2010,Freestyle Skiing,Aerials women
22,KAZ,zhibek arapbayeva,,Vancouver 2010,Freestyle Skiing,Aerials women
