,country,participant,result,olympic_game,discipline,event
0,,,97,Vancouver 2010,Ice Hockey,ice hockey men
1,,,54,Vancouver 2010,Ice Hockey,ice hockey men
2,,,42,Vancouver 2010,Ice Hockey,ice hockey men
3,,,58,Vancouver 2010,Ice Hockey,ice hockey men
4,,,32,Vancouver 2010,Ice Hockey,ice hockey men
5,,,43,Vancouver 2010,Ice Hockey,ice hockey men
6,,,35,Vancouver 2010,Ice Hockey,ice hockey men
7,,,30,Vancouver 2010,Ice Hockey,ice hockey men
8,,,24,Vancouver 2010,Ice Hockey,ice hockey men
9,,,19,Vancouver 2010,Ice Hockey,ice hockey men
10,,,13,Vancouver 2010,Ice Hockey,ice hockey men
11,,,17,Vancouver 2010,Ice Hockey,ice hockey men
0,,,120,Vancouver 2010,Ice Hockey,ice hockey women
1,,,99,Vancouver 2010,Ice Hockey,ice hockey women
2,,,23,Vancouver 2010,Ice Hockey,ice hockey women
3,,,35,Vancouver 2010,Ice Hockey,ice hockey women
4,,,32,Vancouver 2010,Ice Hockey,ice hockey women
5,,,20,Vancouver 2010,Ice Hockey,ice hockey women
6,,,14,Vancouver 2010,Ice Hockey,ice hockey women
7,,,18,Vancouver 2010,Ice Hockey,ice hockey women
