,country,participant,result,olympic_game,discipline,event
0,CAN,jasey jay anderson,,Vancouver 2010,Snowboard,Giant parallel slalom men
1,AUT,benjamin karl,,Vancouver 2010,Snowboard,Giant parallel slalom men
2,FRA,mathieu bozzetto,,Vancouver 2010,Snowboard,Giant parallel slalom men
3,RUS,stanislav detkov,,Vancouver 2010,Snowboard,Giant parallel slalom men
4,SUI,simon schoch,,Vancouver 2010,Snowboard,Giant parallel slalom men
5,SLO,zan kosir,,Vancouver 2010,Snowboard,Giant parallel slalom men
6,USA,chris klug,,Vancouver 2010,Snowboard,Giant parallel slalom men
7,SLO,rok flander,,Vancouver 2010,Snowboard,Giant parallel slalom men
8,AUT,andreas prommegger,,Vancouver 2010,Snowboard,Giant parallel slalom men
9,FRA,sylvain dufour,,Vancouver 2010,Snowboard,Giant parallel slalom men
10,CAN,matthew morison,,Vancouver 2010,Snowboard,Giant parallel slalom men
11,CAN,michael lambert,,Vancouver 2010,Snowboard,Giant parallel slalom men
12,USA,tyler jewell,,Vancouver 2010,Snowboard,Giant parallel slalom men
13,SWE,daniel biveson,,Vancouver 2010,Snowboard,Giant parallel slalom men
14,ITA,aaron march,,Vancouver 2010,Snowboard,Giant parallel slalom men
15,GER,patrick bussler,,Vancouver 2010,Snowboard,Giant parallel slalom men
16,SUI,nevin galmarini,,Vancouver 2010,Snowboard,Giant parallel slalom men
17,ITA,roland fischnaller,,Vancouver 2010,Snowboard,Giant parallel slalom men
18,SUI,marc iselin,,Vancouver 2010,Snowboard,Giant parallel slalom men
19,SUI,roland haldi,,Vancouver 2010,Snowboard,Giant parallel slalom men
20,ITA,meinhard erlacher,,Vancouver 2010,Snowboard,Giant parallel slalom men
21,UKR,yosyp peniak,,Vancouver 2010,Snowboard,Giant parallel slalom men
22,SLO,rok marguc,,Vancouver 2010,Snowboard,Giant parallel slalom men
23,GBR,adam mcleish,,Vancouver 2010,Snowboard,Giant parallel slalom men
24,SLO,izidor sustersic,,Vancouver 2010,Snowboard,Giant parallel slalom men
25,BUL,ivan rantchev,,Vancouver 2010,Snowboard,Giant parallel slalom men
26,JPN,yuki nofuji,,Vancouver 2010,Snowboard,Giant parallel slalom men
27,CZE,petr sindelar,,Vancouver 2010,Snowboard,Giant parallel slalom men
28,AUT,ingemar walder,,Vancouver 2010,Snowboard,Giant parallel slalom men
29,AUT,siegfried grabner,Did not finish,Vancouver 2010,Snowboard,Giant parallel slalom men
0,NED,nicolien sauerbreij,,Vancouver 2010,Snowboard,Giant parallel slalom women
1,RUS,ekaterina ilyukhina,,Vancouver 2010,Snowboard,Giant parallel slalom women
2,AUT,marion kreiner,,Vancouver 2010,Snowboard,Giant parallel slalom women
3,GER,selina joerg,,Vancouver 2010,Snowboard,Giant parallel slalom women
4,GER,anke woehrer,,Vancouver 2010,Snowboard,Giant parallel slalom women
5,AUT,ina meschik,,Vancouver 2010,Snowboard,Giant parallel slalom women
6,AUT,claudia riegler,,Vancouver 2010,Snowboard,Giant parallel slalom women
7,GER,amelie kober,,Vancouver 2010,Snowboard,Giant parallel slalom women
8,AUT,doris guenther,,Vancouver 2010,Snowboard,Giant parallel slalom women
9,RUS,ekaterina tudegesheva,,Vancouver 2010,Snowboard,Giant parallel slalom women
10,FRA,camille de faucompret,,Vancouver 2010,Snowboard,Giant parallel slalom women
11,CAN,alexa loo,,Vancouver 2010,Snowboard,Giant parallel slalom women
12,JPN,tomoka takeuchi,,Vancouver 2010,Snowboard,Giant parallel slalom women
13,USA,michelle gorgone,,Vancouver 2010,Snowboard,Giant parallel slalom women
14,GER,isabella laboeck,,Vancouver 2010,Snowboard,Giant parallel slalom women
15,UKR,annamari dancha,,Vancouver 2010,Snowboard,Giant parallel slalom women
16,RUS,alena zavarzina,,Vancouver 2010,Snowboard,Giant parallel slalom women
17,FRA,nathalie desmares,,Vancouver 2010,Snowboard,Giant parallel slalom women
18,AUS,johanna shaw,,Vancouver 2010,Snowboard,Giant parallel slalom women
19,CAN,caroline calve,,Vancouver 2010,Snowboard,Giant parallel slalom women
