,country,participant,result,olympic_game,discipline,event
0,KOR,seung hoon lee,00:12:58.550,Vancouver 2010,Speed skating,10000m men
1,RUS,ivan skobrev,00:13:02.070,Vancouver 2010,Speed skating,10000m men
2,NED,bob johannes carolus de jong,00:13:06.730,Vancouver 2010,Speed skating,10000m men
3,FRA,alexis contin,00:13:12.110,Vancouver 2010,Speed skating,10000m men
4,NOR,havard bokko,00:13:14.920,Vancouver 2010,Speed skating,10000m men
5,NOR,sverre haugli,00:13:18.740,Vancouver 2010,Speed skating,10000m men
6,NOR,henrik christiansen,00:13:25.650,Vancouver 2010,Speed skating,10000m men
7,USA,jonathan kuck,00:13:31.780,Vancouver 2010,Speed skating,10000m men
8,NED,arjen van de kieft,00:13:33.370,Vancouver 2010,Speed skating,10000m men
9,GER,marco weber,00:13:35.730,Vancouver 2010,Speed skating,10000m men
10,JPN,hiroki hirako,00:13:37.560,Vancouver 2010,Speed skating,10000m men
11,USA,ryan bedford,00:13:40.200,Vancouver 2010,Speed skating,10000m men
12,RUS,alexander rumyantsev,00:13:45.770,Vancouver 2010,Speed skating,10000m men
13,POL,sebastian druszkiewicz,00:13:49.310,Vancouver 2010,Speed skating,10000m men
14,NED,sven kramer,Disqualified,Vancouver 2010,Speed skating,10000m men
15,ITA,enrico fabris,Did not start,Vancouver 2010,Speed skating,10000m men
0,USA,shani davis,00:01:08.940,Vancouver 2010,Speed skating,1000m men
1,KOR,tae-bum mo,00:01:09.120,Vancouver 2010,Speed skating,1000m men
2,USA,chad hedrick,00:01:09.320,Vancouver 2010,Speed skating,1000m men
3,NED,stefan groothuis,00:01:09.450,Vancouver 2010,Speed skating,1000m men
4,NED,mark tuitert,00:01:09.480,Vancouver 2010,Speed skating,1000m men
5,NED,simon kuipers,00:01:09.650,Vancouver 2010,Speed skating,1000m men
6,USA,nick pearson,00:01:09.790,Vancouver 2010,Speed skating,1000m men
7,FIN,mika poutala,00:01:09.850,Vancouver 2010,Speed skating,1000m men
8,KOR,kyou-hyuk lee,00:01:09.920,Vancouver 2010,Speed skating,1000m men
9,USA,trevor marsicano,00:01:10.110,Vancouver 2010,Speed skating,1000m men
10,RUS,yevgeny lalenkov,00:01:10.140,Vancouver 2010,Speed skating,1000m men
11,NED,jan bos,00:01:10.290,Vancouver 2010,Speed skating,1000m men
12,CAN,denny morrison,00:01:10.300,Vancouver 2010,Speed skating,1000m men
13,CAN,jeremy wotherspoon,00:01:10.350,Vancouver 2010,Speed skating,1000m men
14,NOR,mikael flygind larsen,00:01:10.380,Vancouver 2010,Speed skating,1000m men
15,GER,samuel schwarz,00:01:10.450,Vancouver 2010,Speed skating,1000m men
16,JPN,tadashi obara,00:01:10.510,Vancouver 2010,Speed skating,1000m men
17,KOR,joon mun,00:01:10.680,Vancouver 2010,Speed skating,1000m men
18,NOR,havard bokko,00:01:10.730,Vancouver 2010,Speed skating,1000m men
19,CAN,françois olivier roberge,00:01:10.750,Vancouver 2010,Speed skating,1000m men
20,RUS,dmitry lobkov,00:01:10.795,Vancouver 2010,Speed skating,1000m men
21,RUS,aleksey yesin,00:01:10.797,Vancouver 2010,Speed skating,1000m men
22,KAZ,denis kuzin,00:01:10.880,Vancouver 2010,Speed skating,1000m men
23,CAN,kyle parrot,00:01:10.890,Vancouver 2010,Speed skating,1000m men
24,GER,nico ihle,00:01:11.040,Vancouver 2010,Speed skating,1000m men
25,JPN,teruhiro sugimori,00:01:11.130,Vancouver 2010,Speed skating,1000m men
26,POL,konrad niedzwiedzki,00:01:11.240,Vancouver 2010,Speed skating,1000m men
27,KAZ,roman krech,00:01:11.270,Vancouver 2010,Speed skating,1000m men
28,JPN,ryohei haga,00:01:11.460,Vancouver 2010,Speed skating,1000m men
29,ITA,matteo anesi,00:01:11.510,Vancouver 2010,Speed skating,1000m men
30,CHN,nan wang,00:01:11.820,Vancouver 2010,Speed skating,1000m men
31,POL,maciej ustynowicz,00:01:12.100,Vancouver 2010,Speed skating,1000m men
32,ITA,ermanno ioriatti,00:01:12.150,Vancouver 2010,Speed skating,1000m men
33,FIN,tuomas nieminen,00:01:12.260,Vancouver 2010,Speed skating,1000m men
34,NOR,christoffer fagerli rukke,00:01:12.310,Vancouver 2010,Speed skating,1000m men
35,KOR,ki-ho lee,00:01:12.330,Vancouver 2010,Speed skating,1000m men
36,JPN,keiichiro nagashima,00:01:12.710,Vancouver 2010,Speed skating,1000m men
37,RUS,aleksandr lebedev,00:01:12.780,Vancouver 2010,Speed skating,1000m men
0,CAN,christine nesbitt,00:01:16.560,Vancouver 2010,Speed skating,1000m women
1,NED,annette gerritsen,00:01:16.580,Vancouver 2010,Speed skating,1000m women
2,NED,laurine van riessen,00:01:16.720,Vancouver 2010,Speed skating,1000m women
3,CAN,kristina groves,00:01:16.780,Vancouver 2010,Speed skating,1000m women
4,JPN,nao kodaira,00:01:16.800,Vancouver 2010,Speed skating,1000m women
5,NED,margot boer,00:01:16.940,Vancouver 2010,Speed skating,1000m women
6,USA,jennifer rodriguez,00:01:17.080,Vancouver 2010,Speed skating,1000m women
7,NED,ireen wüst,00:01:17.280,Vancouver 2010,Speed skating,1000m women
8,USA,heather bergsma,00:01:17.370,Vancouver 2010,Speed skating,1000m women
9,NOR,hege bokko,00:01:17.430,Vancouver 2010,Speed skating,1000m women
10,RUS,ekaterina shikhova,00:01:17.460,Vancouver 2010,Speed skating,1000m women
11,CZE,karolina erbanova,00:01:17.530,Vancouver 2010,Speed skating,1000m women
12,PRK,hyon-suk ko,00:01:17.630,Vancouver 2010,Speed skating,1000m women
13,GER,anni friesinger,00:01:17.710,Vancouver 2010,Speed skating,1000m women
14,JPN,sayuri yoshii,00:01:17.810,Vancouver 2010,Speed skating,1000m women
15,KAZ,yekaterina aydova,00:01:17.850,Vancouver 2010,Speed skating,1000m women
16,GER,jenny wolf,00:01:17.910,Vancouver 2010,Speed skating,1000m women
17,CHN,peiyu jing,00:01:17.970,Vancouver 2010,Speed skating,1000m women
18,ITA,chiara simionato,00:01:18.020,Vancouver 2010,Speed skating,1000m women
19,RUS,olga fatkulina,00:01:18.130,Vancouver 2010,Speed skating,1000m women
20,CAN,shannon rempel,00:01:18.174,Vancouver 2010,Speed skating,1000m women
21,GER,monique angermuller,00:01:18.179,Vancouver 2010,Speed skating,1000m women
22,KOR,sang-hwa lee,00:01:18.240,Vancouver 2010,Speed skating,1000m women
23,CHN,beixing wang,00:01:18.300,Vancouver 2010,Speed skating,1000m women
24,CAN,brittany schussler,00:01:18.310,Vancouver 2010,Speed skating,1000m women
25,USA,elli ochowicz,00:01:18.330,Vancouver 2010,Speed skating,1000m women
26,RUS,yekaterina malysheva,00:01:18.560,Vancouver 2010,Speed skating,1000m women
27,RUS,yekaterina lobysheva,00:01:18.785,Vancouver 2010,Speed skating,1000m women
28,USA,rebekah bradford,00:01:18.788,Vancouver 2010,Speed skating,1000m women
29,AUS,sophie muir,00:01:18.790,Vancouver 2010,Speed skating,1000m women
30,POL,katarzyna bachleda-curus,00:01:19.000,Vancouver 2010,Speed skating,1000m women
31,CHN,jing yu,00:01:19.130,Vancouver 2010,Speed skating,1000m women
32,CHN,hui ren,00:01:19.180,Vancouver 2010,Speed skating,1000m women
33,JPN,tomomi okazaki,00:01:19.410,Vancouver 2010,Speed skating,1000m women
34,JPN,miho takagi,00:01:19.530,Vancouver 2010,Speed skating,1000m women
35,KOR,you-lim kim,Did not finish,Vancouver 2010,Speed skating,1000m women
0,NED,mark tuitert,00:01:45.570,Vancouver 2010,Speed skating,1500m men
1,USA,shani davis,00:01:46.100,Vancouver 2010,Speed skating,1500m men
2,NOR,havard bokko,00:01:46.130,Vancouver 2010,Speed skating,1500m men
3,RUS,ivan skobrev,00:01:46.420,Vancouver 2010,Speed skating,1500m men
4,KOR,tae-bum mo,00:01:46.470,Vancouver 2010,Speed skating,1500m men
5,USA,chad hedrick,00:01:46.690,Vancouver 2010,Speed skating,1500m men
6,NED,simon kuipers,00:01:46.760,Vancouver 2010,Speed skating,1500m men
7,NOR,mikael flygind larsen,00:01:46.770,Vancouver 2010,Speed skating,1500m men
8,CAN,denny morrison,00:01:46.930,Vancouver 2010,Speed skating,1500m men
9,ITA,enrico fabris,00:01:47.020,Vancouver 2010,Speed skating,1500m men
10,RUS,yevgeny lalenkov,00:01:47.060,Vancouver 2010,Speed skating,1500m men
11,ITA,matteo anesi,00:01:47.340,Vancouver 2010,Speed skating,1500m men
12,NED,sven kramer,00:01:47.400,Vancouver 2010,Speed skating,1500m men
13,CAN,mathieu giroux,00:01:47.620,Vancouver 2010,Speed skating,1500m men
14,USA,trevor marsicano,00:01:47.840,Vancouver 2010,Speed skating,1500m men
15,NED,stefan groothuis,00:01:48.030,Vancouver 2010,Speed skating,1500m men
16,POL,konrad niedzwiedzki,00:01:48.150,Vancouver 2010,Speed skating,1500m men
17,USA,brian hansen,00:01:48.450,Vancouver 2010,Speed skating,1500m men
18,CAN,lucas makowsky,00:01:48.610,Vancouver 2010,Speed skating,1500m men
19,NOR,christoffer fagerli rukke,00:01:48.620,Vancouver 2010,Speed skating,1500m men
20,RUS,aleksey yesin,00:01:48.650,Vancouver 2010,Speed skating,1500m men
21,KOR,jong woo lee,00:01:49.000,Vancouver 2010,Speed skating,1500m men
22,KAZ,denis kuzin,00:01:49.050,Vancouver 2010,Speed skating,1500m men
23,SWE,joel eriksson,00:01:49.080,Vancouver 2010,Speed skating,1500m men
24,SWE,daniel friberg,00:01:49.130,Vancouver 2010,Speed skating,1500m men
25,JPN,teruhiro sugimori,00:01:49.190,Vancouver 2010,Speed skating,1500m men
26,POL,zbigniew brodka,00:01:49.450,Vancouver 2010,Speed skating,1500m men
27,SWE,johan rojler,00:01:49.500,Vancouver 2010,Speed skating,1500m men
28,NOR,fredrik van der horst,00:01:49.580,Vancouver 2010,Speed skating,1500m men
29,JPN,shingo doi,00:01:49.770,Vancouver 2010,Speed skating,1500m men
30,KOR,hong-sun ha,00:01:49.930,Vancouver 2010,Speed skating,1500m men
31,GER,samuel schwarz,00:01:50.070,Vancouver 2010,Speed skating,1500m men
32,FRA,pascal briand,00:01:50.710,Vancouver 2010,Speed skating,1500m men
33,CHN,xuefeng gao,00:01:50.780,Vancouver 2010,Speed skating,1500m men
34,CHN,longjiang sun,00:01:51.300,Vancouver 2010,Speed skating,1500m men
35,RUS,aleksandr lebedev,00:01:52.090,Vancouver 2010,Speed skating,1500m men
36,CAN,kyle parrot,00:01:52.670,Vancouver 2010,Speed skating,1500m men
0,NED,ireen wüst,00:01:56.890,Vancouver 2010,Speed skating,1500m women
1,CAN,kristina groves,00:01:57.140,Vancouver 2010,Speed skating,1500m women
2,CZE,martina sablikova,00:01:57.960,Vancouver 2010,Speed skating,1500m women
3,NED,margot boer,00:01:58.100,Vancouver 2010,Speed skating,1500m women
4,JPN,nao kodaira,00:01:58.200,Vancouver 2010,Speed skating,1500m women
5,CAN,christine nesbitt,00:01:58.330,Vancouver 2010,Speed skating,1500m women
